"A","Agilent Technologies, Inc. Comm",42.07
"AA","Alcoa Inc. Common Stock",13.57
"AAPL","Apple Inc.",128.43
"ABC","AmerisourceBergen Corporation C",113.94
"ABT","Abbott Laboratories Common Stoc",48.5039
"ACE","Ace Limited Common Stock",108.02
"ACN","Accenture plc. Class A Ordinary",96.90
"ADBE","Adobe Systems Incorporated",78.73
"ADI","Analog Devices, Inc.",63.04
"ADM","Archer-Daniels-Midland Company ",53.055
"ADP","Automatic Data Processing, Inc.",87.55
"ADSK","Autodesk, Inc.",59.01
"ADT","ADT Corporation Common Stock",37.63
"AEE","Ameren Corporation Common Stock",40.63
"AEP","American Electric Power Company",55.62
"AES","The AES Corporation Common Stoc",13.725
"AET","Aetna Inc. Common Stock",111.845
"AFL","AFLAC Incorporated Common Stock",63.385
"AGN",N/A,N/A
"AIG","American International Group, I",58.21
"AIV","Apartment Investment and Manage",38.155
"AIZ","Assurant, Inc. Common Stock",65.63
"AKAM","Akamai Technologies, Inc.",78.00
"ALL","Allstate Corporation (The) Comm",67.53
"ALTR","Altera Corporation",44.29
"ALXN","Alexion Pharmaceuticals, Inc.",160.36
"AMAT","Applied Materials, Inc.",20.24
"AMD","Advanced Micro Devices",2.355
"AMGN","Amgen Inc.",162.24
"AMP","Ameriprise Financial, Inc. Comm",127.18
"AMT","American Tower Corporation (REI",95.14
"AMZN","Amazon.com, Inc.",425.55
"AN","AutoNation, Inc. Common Stock",62.26
"ANF","Abercrombie & Fitch Company Com",21.39
"AON","Aon plc Class A Ordinary Shares",99.14
"APA","Apache Corporation Common Stock",63.83
"APC","Anadarko Petroleum Corporation ",85.03
"APD","Air Products and Chemicals, Inc",148.875
"APH","Amphenol Corporation Common Sto",57.655
"APOL","Apollo Education Group, Inc.",16.93
"ARG","Airgas, Inc. Common Stock",102.95
"ATI","Allegheny Technologies Incorpor",37.52
"AVB","AvalonBay Communities, Inc. Com",168.564
"AVP","Avon Products, Inc. Common Stoc",6.995
"AVY","Avery Dennison Corporation Comm",60.335
"AXP","American Express Company Common",80.025
"AZO","AutoZone, Inc. Common Stock",686.49
"BA","Boeing Company (The) Common Sto",146.43
"BAC","Bank of America Corporation Com",16.33
"BAX","Baxter International Inc. Commo",69.24
"BBBY","Bed Bath & Beyond Inc.",73.32
