"A","Agilent Technologies, Inc. Comm",42.09
"AA","Alcoa Inc. Common Stock",13.575
"AAPL","Apple Inc.",128.4799
"ABC","AmerisourceBergen Corporation C",114.01
"ABT","Abbott Laboratories Common Stoc",48.53
"ACE","Ace Limited Common Stock",108.09
"ACN","Accenture plc. Class A Ordinary",96.91
"ADBE","Adobe Systems Incorporated",78.90
"ADI","Analog Devices, Inc.",63.01
"ADM","Archer-Daniels-Midland Company ",53.04
"ADP","Automatic Data Processing, Inc.",87.64
"ADSK","Autodesk, Inc.",59.00
"ADT","ADT Corporation Common Stock",37.68
"AEE","Ameren Corporation Common Stock",40.51
"AEP","American Electric Power Company",55.47
"AES","The AES Corporation Common Stoc",13.72
"AET","Aetna Inc. Common Stock",111.72
"AFL","AFLAC Incorporated Common Stock",63.56
"AGN",N/A,N/A
"AIG","American International Group, I",58.34
"AIV","Apartment Investment and Manage",38.16
"AIZ","Assurant, Inc. Common Stock",65.56
"AKAM","Akamai Technologies, Inc.",77.99
"ALL","Allstate Corporation (The) Comm",67.64
"ALTR","Altera Corporation",44.59
"ALXN","Alexion Pharmaceuticals, Inc.",160.29
"AMAT","Applied Materials, Inc.",20.23
"AMD","Advanced Micro Devices",2.36
"AMGN","Amgen Inc.",162.16
"AMP","Ameriprise Financial, Inc. Comm",127.51
"AMT","American Tower Corporation (REI",95.14
"AMZN","Amazon.com, Inc.",426.055
"AN","AutoNation, Inc. Common Stock",62.29
"ANF","Abercrombie & Fitch Company Com",21.36
"AON","Aon plc Class A Ordinary Shares",99.38
"APA","Apache Corporation Common Stock",63.47
"APC","Anadarko Petroleum Corporation ",84.57
"APD","Air Products and Chemicals, Inc",148.69
"APH","Amphenol Corporation Common Sto",57.75
"APOL","Apollo Education Group, Inc.",16.95
"ARG","Airgas, Inc. Common Stock",102.90
"ATI","Allegheny Technologies Incorpor",37.68
"AVB","AvalonBay Communities, Inc. Com",168.51
"AVP","Avon Products, Inc. Common Stoc",7.01
"AVY","Avery Dennison Corporation Comm",60.23
"AXP","American Express Company Common",80.22
"AZO","AutoZone, Inc. Common Stock",686.54
"BA","Boeing Company (The) Common Sto",146.58
"BAC","Bank of America Corporation Com",16.355
"BAX","Baxter International Inc. Commo",69.36
"BBBY","Bed Bath & Beyond Inc.",71.86
"BBT","BB&T Corporation Common Stock",38.61
"BBY","Best Buy Co., Inc. Common Stock",34.72
"BCR","C.R. Bard, Inc. Common Stock",172.50
"BDX","Becton, Dickinson and Company C",141.03
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.74
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.76
"BIG","Big Lots, Inc. Common Stock",46.235
"BIIB","Biogen Idec Inc.",390.45
"BK","Bank of New York Mellon Corpora",43.095
"BLK","BlackRock, Inc. Common Stock",369.83
"BLL","Ball Corporation Common Stock",72.87
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.26
"BMY","Bristol-Myers Squibb Company Co",67.26
"BRCM","Broadcom Corporation",47.33
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.815
"BTU","Peabody Energy Corporation Comm",4.3001
"BWA","BorgWarner Inc. Common Stock",61.70
"BXP","Boston Properties, Inc. Common ",134.25
"C","Citigroup, Inc. Common Stock",54.205
"CA","CA Inc.",31.775
"CAG","ConAgra Foods, Inc. Common Stoc",38.39
"CAH","Cardinal Health, Inc. Common St",87.57
"CAM","Cameron International Corporati",52.09
"CAT","Caterpillar, Inc. Common Stock",88.31
"CB","Chubb Corporation (The) Common ",98.81
"CBG","CBRE Group Inc Common Stock Cla",38.53
"CBS","CBS Corporation Class B Common ",59.55
"CCE","Coca-Cola Enterprises, Inc. Com",46.495
"CCI","Crown Castle International Corp",83.40
"CCL","Carnival Corporation Common Sto",47.86
"CELG","Celgene Corporation",115.22
"CERN","Cerner Corporation",67.5895
"CF","CF Industries Holdings, Inc. Co",306.71
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.955
"CHRW","C.H. Robinson Worldwide, Inc.",64.59
"CI","Cigna Corporation Common Stock",131.26
"CINF","Cincinnati Financial Corporatio",50.85
"CL","Colgate-Palmolive Company Commo",68.49
"CLF","Cliffs Natural Resources Inc Co",5.60
"CLX","Clorox Company (The) Common Sto",109.065
"CMA","Comerica Incorporated Common St",48.00
"CMCSA","Comcast Corporation",56.405
"CME","CME Group Inc.",94.61
"CMG","Chipotle Mexican Grill, Inc. Co",633.65
"CMI","Cummins Inc. Common Stock",141.98
"CMS","CMS Energy Corporation Common S",33.72
"CNP","CenterPoint Energy, Inc (Holdin",20.24
"CNX","CONSOL Energy Inc. Common Stock",32.06
"COF","Capital One Financial Corporati",83.745
"COG","Cabot Oil & Gas Corporation Com",35.475
"COH","Coach, Inc. Common Stock",37.49
"COL","Rockwell Collins, Inc. Common S",97.77
"COP","ConocoPhillips Common Stock",65.79
"COST","Costco Wholesale Corporation",144.29
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.84
"CRM","Salesforce.com Inc Common Stock",72.41
"CSC","Computer Sciences Corporation C",67.76
"CSCO","Cisco Systems, Inc.",29.49
"CSX","CSX Corporation Common Stock",35.32
"CTAS","Cintas Corporation",85.40
"CTL","CenturyLink, Inc. Common Stock",34.3856
"CTSH","Cognizant Technology Solutions ",63.21
"CTXS","Citrix Systems, Inc.",65.72
"CVC","Cablevision Systems Corporation",20.37
"CVH",N/A,N/A
