"A","Agilent Technologies, Inc. Comm",42.14
"AA","Alcoa Inc. Common Stock",13.55
"AAPL","Apple Inc.",128.385
"ABC","AmerisourceBergen Corporation C",114.37
"ABT","Abbott Laboratories Common Stoc",48.55
"ACE","Ace Limited Common Stock",108.23
"ACN","Accenture plc. Class A Ordinary",96.655
"ADBE","Adobe Systems Incorporated",79.03
"ADI","Analog Devices, Inc.",63.01
"ADM","Archer-Daniels-Midland Company ",52.97
"ADP","Automatic Data Processing, Inc.",87.6256
"ADSK","Autodesk, Inc.",59.01
"ADT","ADT Corporation Common Stock",37.87
"AEE","Ameren Corporation Common Stock",40.47
"AEP","American Electric Power Company",55.45
"AES","The AES Corporation Common Stoc",13.64
"AET","Aetna Inc. Common Stock",112.14
"AFL","AFLAC Incorporated Common Stock",63.30
"AGN",N/A,N/A
"AIG","American International Group, I",58.46
"AIV","Apartment Investment and Manage",38.30
"AIZ","Assurant, Inc. Common Stock",65.59
"AKAM","Akamai Technologies, Inc.",77.76
"ALL","Allstate Corporation (The) Comm",67.69
"ALTR","Altera Corporation",44.24
"ALXN","Alexion Pharmaceuticals, Inc.",160.90
"AMAT","Applied Materials, Inc.",20.4885
"AMD","Advanced Micro Devices",2.35
"AMGN","Amgen Inc.",162.71
"AMP","Ameriprise Financial, Inc. Comm",127.51
"AMT","American Tower Corporation (REI",94.91
"AMZN","Amazon.com, Inc.",425.27
"AN","AutoNation, Inc. Common Stock",62.36
"ANF","Abercrombie & Fitch Company Com",21.52
"AON","Aon plc Class A Ordinary Shares",99.63
"APA","Apache Corporation Common Stock",62.66
"APC","Anadarko Petroleum Corporation ",84.41
"APD","Air Products and Chemicals, Inc",148.31
"APH","Amphenol Corporation Common Sto",57.91
"APOL","Apollo Education Group, Inc.",16.80
"ARG","Airgas, Inc. Common Stock",102.80
"ATI","Allegheny Technologies Incorpor",37.48
"AVB","AvalonBay Communities, Inc. Com",169.002
"AVP","Avon Products, Inc. Common Stoc",7.13
"AVY","Avery Dennison Corporation Comm",60.04
"AXP","American Express Company Common",80.41
"AZO","AutoZone, Inc. Common Stock",684.56
"BA","Boeing Company (The) Common Sto",146.66
"BAC","Bank of America Corporation Com",16.355
"BAX","Baxter International Inc. Commo",69.581
"BBBY","Bed Bath & Beyond Inc.",69.618
"BBT","BB&T Corporation Common Stock",38.67
"BBY","Best Buy Co., Inc. Common Stock",34.60
