"A","Agilent Technologies, Inc. Comm",42.08
"AA","Alcoa Inc. Common Stock",13.5795
"AAPL","Apple Inc.",128.75
"ABC","AmerisourceBergen Corporation C",114.18
"ABT","Abbott Laboratories Common Stoc",48.61
"ACE","Ace Limited Common Stock",108.45
"ACN","Accenture plc. Class A Ordinary",96.80
"ADBE","Adobe Systems Incorporated",79.25
"ADI","Analog Devices, Inc.",63.14
"ADM","Archer-Daniels-Midland Company ",52.94
"ADP","Automatic Data Processing, Inc.",87.79
"ADSK","Autodesk, Inc.",59.03
"ADT","ADT Corporation Common Stock",37.98
"AEE","Ameren Corporation Common Stock",40.50
"AEP","American Electric Power Company",55.425
"AES","The AES Corporation Common Stoc",13.6401
"AET","Aetna Inc. Common Stock",112.15
"AFL","AFLAC Incorporated Common Stock",63.33
"AGN",N/A,N/A
"AIG","American International Group, I",58.575
"AIV","Apartment Investment and Manage",38.35
"AIZ","Assurant, Inc. Common Stock",65.49
"AKAM","Akamai Technologies, Inc.",77.87
"ALL","Allstate Corporation (The) Comm",67.92
"ALTR","Altera Corporation",44.11
"ALXN","Alexion Pharmaceuticals, Inc.",161.62
"AMAT","Applied Materials, Inc.",20.405
"AMD","Advanced Micro Devices",2.355
"AMGN","Amgen Inc.",162.94
"AMP","Ameriprise Financial, Inc. Comm",127.88
"AMT","American Tower Corporation (REI",94.99
"AMZN","Amazon.com, Inc.",427.23
"AN","AutoNation, Inc. Common Stock",62.35
"ANF","Abercrombie & Fitch Company Com",21.38
"AON","Aon plc Class A Ordinary Shares",99.90
"APA","Apache Corporation Common Stock",62.56
"APC","Anadarko Petroleum Corporation ",83.94
"APD","Air Products and Chemicals, Inc",148.89
"APH","Amphenol Corporation Common Sto",57.83
"APOL","Apollo Education Group, Inc.",16.7951
"ARG","Airgas, Inc. Common Stock",102.98
"ATI","Allegheny Technologies Incorpor",37.287
"AVB","AvalonBay Communities, Inc. Com",168.85
"AVP","Avon Products, Inc. Common Stoc",7.00
"AVY","Avery Dennison Corporation Comm",60.16
"AXP","American Express Company Common",80.57
"AZO","AutoZone, Inc. Common Stock",683.67
"BA","Boeing Company (The) Common Sto",146.91
"BAC","Bank of America Corporation Com",16.39
"BAX","Baxter International Inc. Commo",69.40
"BBBY","Bed Bath & Beyond Inc.",69.49
"BBT","BB&T Corporation Common Stock",38.78
"BBY","Best Buy Co., Inc. Common Stock",34.63
"BCR","C.R. Bard, Inc. Common Stock",172.58
"BDX","Becton, Dickinson and Company C",141.02
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.77
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.58
"BIG","Big Lots, Inc. Common Stock",46.19
"BIIB","Biogen Idec Inc.",393.5482
"BK","Bank of New York Mellon Corpora",43.08
"BLK","BlackRock, Inc. Common Stock",369.76
"BLL","Ball Corporation Common Stock",72.77
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.29
"BMY","Bristol-Myers Squibb Company Co",67.89
"BRCM","Broadcom Corporation",47.40
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.865
"BTU","Peabody Energy Corporation Comm",4.30
"BWA","BorgWarner Inc. Common Stock",61.65
"BXP","Boston Properties, Inc. Common ",134.93
"C","Citigroup, Inc. Common Stock",54.15
"CA","CA Inc.",31.82
"CAG","ConAgra Foods, Inc. Common Stoc",38.16
"CAH","Cardinal Health, Inc. Common St",87.8699
"CAM","Cameron International Corporati",52.24
"CAT","Caterpillar, Inc. Common Stock",87.96
"CB","Chubb Corporation (The) Common ",99.065
"CBG","CBRE Group Inc Common Stock Cla",38.60
"CBS","CBS Corporation Class B Common ",59.61
"CCE","Coca-Cola Enterprises, Inc. Com",46.40
"CCI","Crown Castle International Corp",83.48
"CCL","Carnival Corporation Common Sto",47.87
"CELG","Celgene Corporation",115.475
"CERN","Cerner Corporation",67.94
"CF","CF Industries Holdings, Inc. Co",305.24
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.70
"CHRW","C.H. Robinson Worldwide, Inc.",64.56
"CI","Cigna Corporation Common Stock",132.15
"CINF","Cincinnati Financial Corporatio",51.04
"CL","Colgate-Palmolive Company Commo",68.59
"CLF","Cliffs Natural Resources Inc Co",5.5899
"CLX","Clorox Company (The) Common Sto",109.05
"CMA","Comerica Incorporated Common St",48.1392
"CMCSA","Comcast Corporation",56.50
"CME","CME Group Inc.",95.145
"CMG","Chipotle Mexican Grill, Inc. Co",633.50
"CMI","Cummins Inc. Common Stock",141.85
"CMS","CMS Energy Corporation Common S",33.55
"CNP","CenterPoint Energy, Inc (Holdin",20.20
"CNX","CONSOL Energy Inc. Common Stock",31.85
"COF","Capital One Financial Corporati",84.28
"COG","Cabot Oil & Gas Corporation Com",35.28
"COH","Coach, Inc. Common Stock",37.51
"COL","Rockwell Collins, Inc. Common S",98.04
"COP","ConocoPhillips Common Stock",65.46
"COST","Costco Wholesale Corporation",144.40
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.68
"CRM","Salesforce.com Inc Common Stock",73.02
"CSC","Computer Sciences Corporation C",67.13
"CSCO","Cisco Systems, Inc.",29.70
"CSX","CSX Corporation Common Stock",35.21
"CTAS","Cintas Corporation",85.63
"CTL","CenturyLink, Inc. Common Stock",34.45
"CTSH","Cognizant Technology Solutions ",63.23
"CTXS","Citrix Systems, Inc.",66.09
"CVC","Cablevision Systems Corporation",20.16
"CVH",N/A,N/A
"CVS","CVS Health Corporation Common S",101.66
"CVX","Chevron Corporation Common Stoc",107.92
"D","Dominion Resources, Inc. Common",72.0099
"DD","E.I. du Pont de Nemours and Com",70.35
"DE","Deere & Company Common Stock",88.99
"DELL",N/A,N/A
"DF","Dean Foods Company Common Stock",18.95
"DFS","Discover Financial Services Com",59.86
"DG","Dollar General Corporation Comm",74.40
"DGX","Quest Diagnostics Incorporated ",71.78
"DHI","D.R. Horton, Inc. Common Stock",26.03
"DHR","Danaher Corporation Common Stoc",86.96
"DIS","Walt Disney Company (The) Commo",110.065
"DISCA","Discovery Communications, Inc.",31.5251
"DLTR","Dollar Tree, Inc.",77.99
"DNB","Dun & Bradstreet Corporation (T",128.88
"DNR","Denbury Resources Inc. Common S",7.20
"DO","Diamond Offshore Drilling, Inc.",32.74
"DOV","Dover Corporation Common Stock",75.81
"DOW","Dow Chemical Company (The) Comm",51.15
"DPS","Dr Pepper Snapple Group, Inc Dr",77.56
"DRI","Darden Restaurants, Inc. Common",63.83
"DTE","DTE Energy Company Common Stock",78.55
"DTV","DIRECTV",91.35
"DUK","Duke Energy Corporation (Holdin",76.086
"DVA","DaVita HealthCare Partners Inc.",81.62
"DVN","Devon Energy Corporation Common",65.31
"EA","Electronic Arts Inc.",63.0845
"EBAY","eBay Inc.",59.81
"ECL","Ecolab Inc. Common Stock",116.135
"ED","Consolidated Edison, Inc. Commo",61.52
"EFX","Equifax, Inc. Common Stock",99.42
"EIX","Edison International Common Sto",60.10
