"A","Agilent Technologies, Inc. Comm",42.10
"AA","Alcoa Inc. Common Stock",13.56
"AAPL","Apple Inc.",128.625
"ABC","AmerisourceBergen Corporation C",113.96
"ABT","Abbott Laboratories Common Stoc",48.585
"ACE","Ace Limited Common Stock",108.12
"ACN","Accenture plc. Class A Ordinary",96.88
"ADBE","Adobe Systems Incorporated",78.90
"ADI","Analog Devices, Inc.",63.13
"ADM","Archer-Daniels-Midland Company ",53.07
"ADP","Automatic Data Processing, Inc.",87.77
"ADSK","Autodesk, Inc.",58.99
"ADT","ADT Corporation Common Stock",37.79
"AEE","Ameren Corporation Common Stock",40.60
"AEP","American Electric Power Company",55.55
"AES","The AES Corporation Common Stoc",13.70
"AET","Aetna Inc. Common Stock",111.88
"AFL","AFLAC Incorporated Common Stock",63.41
"AGN",N/A,N/A
"AIG","American International Group, I",58.35
"AIV","Apartment Investment and Manage",38.18
"AIZ","Assurant, Inc. Common Stock",65.55
"AKAM","Akamai Technologies, Inc.",77.98
"ALL","Allstate Corporation (The) Comm",67.64
"ALTR","Altera Corporation",44.59
"ALXN","Alexion Pharmaceuticals, Inc.",160.72
"AMAT","Applied Materials, Inc.",20.25
"AMD","Advanced Micro Devices",2.37
"AMGN","Amgen Inc.",162.75
"AMP","Ameriprise Financial, Inc. Comm",127.33
"AMT","American Tower Corporation (REI",95.17
"AMZN","Amazon.com, Inc.",425.71
"AN","AutoNation, Inc. Common Stock",62.27
"ANF","Abercrombie & Fitch Company Com",21.34
"AON","Aon plc Class A Ordinary Shares",99.45
"APA","Apache Corporation Common Stock",63.28
"APC","Anadarko Petroleum Corporation ",84.42
"APD","Air Products and Chemicals, Inc",148.88
"APH","Amphenol Corporation Common Sto",57.85
"APOL","Apollo Education Group, Inc.",16.955
"ARG","Airgas, Inc. Common Stock",102.99
"ATI","Allegheny Technologies Incorpor",37.65
"AVB","AvalonBay Communities, Inc. Com",168.70
"AVP","Avon Products, Inc. Common Stoc",7.07
"AVY","Avery Dennison Corporation Comm",60.16
"AXP","American Express Company Common",80.21
"AZO","AutoZone, Inc. Common Stock",684.94
"BA","Boeing Company (The) Common Sto",146.54
"BAC","Bank of America Corporation Com",16.331
"BAX","Baxter International Inc. Commo",69.35
"BBBY","Bed Bath & Beyond Inc.",69.57
"BBT","BB&T Corporation Common Stock",38.56
"BBY","Best Buy Co., Inc. Common Stock",34.60
"BCR","C.R. Bard, Inc. Common Stock",172.835
"BDX","Becton, Dickinson and Company C",141.19
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.735
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.83
"BIG","Big Lots, Inc. Common Stock",46.26
"BIIB","Biogen Idec Inc.",391.16
"BK","Bank of New York Mellon Corpora",43.03
"BLK","BlackRock, Inc. Common Stock",369.86
"BLL","Ball Corporation Common Stock",73.00
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.22
"BMY","Bristol-Myers Squibb Company Co",67.24
"BRCM","Broadcom Corporation",47.24
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.82
"BTU","Peabody Energy Corporation Comm",4.32
"BWA","BorgWarner Inc. Common Stock",61.68
"BXP","Boston Properties, Inc. Common ",134.45
"C","Citigroup, Inc. Common Stock",54.12
"CA","CA Inc.",31.79
"CAG","ConAgra Foods, Inc. Common Stoc",38.3101
"CAH","Cardinal Health, Inc. Common St",87.555
"CAM","Cameron International Corporati",52.27
"CAT","Caterpillar, Inc. Common Stock",88.30
"CB","Chubb Corporation (The) Common ",98.83
"CBG","CBRE Group Inc Common Stock Cla",38.52
"CBS","CBS Corporation Class B Common ",59.67
"CCE","Coca-Cola Enterprises, Inc. Com",46.41
"CCI","Crown Castle International Corp",83.26
"CCL","Carnival Corporation Common Sto",47.86
"CELG","Celgene Corporation",115.20
"CERN","Cerner Corporation",67.64
"CF","CF Industries Holdings, Inc. Co",307.19
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.8644
"CHRW","C.H. Robinson Worldwide, Inc.",64.448
"CI","Cigna Corporation Common Stock",131.625
"CINF","Cincinnati Financial Corporatio",50.89
"CL","Colgate-Palmolive Company Commo",68.54
"CLF","Cliffs Natural Resources Inc Co",5.60
"CLX","Clorox Company (The) Common Sto",108.985
"CMA","Comerica Incorporated Common St",47.95
"CMCSA","Comcast Corporation",56.42
"CME","CME Group Inc.",94.73
"CMG","Chipotle Mexican Grill, Inc. Co",633.365
"CMI","Cummins Inc. Common Stock",141.896
"CMS","CMS Energy Corporation Common S",33.76
"CNP","CenterPoint Energy, Inc (Holdin",20.25
"CNX","CONSOL Energy Inc. Common Stock",31.94
"COF","Capital One Financial Corporati",83.81
"COG","Cabot Oil & Gas Corporation Com",35.35
"COH","Coach, Inc. Common Stock",37.47
"COL","Rockwell Collins, Inc. Common S",97.85
"COP","ConocoPhillips Common Stock",65.70
"COST","Costco Wholesale Corporation",144.36
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.76
"CRM","Salesforce.com Inc Common Stock",72.575
"CSC","Computer Sciences Corporation C",67.445
"CSCO","Cisco Systems, Inc.",29.50
"CSX","CSX Corporation Common Stock",35.2701
"CTAS","Cintas Corporation",85.42
"CTL","CenturyLink, Inc. Common Stock",34.38
"CTSH","Cognizant Technology Solutions ",63.10
"CTXS","Citrix Systems, Inc.",65.77
"CVC","Cablevision Systems Corporation",20.30
"CVH",N/A,N/A
"CVS","CVS Health Corporation Common S",101.59
"CVX","Chevron Corporation Common Stoc",107.92
"D","Dominion Resources, Inc. Common",72.10
"DD","E.I. du Pont de Nemours and Com",70.70
"DE","Deere & Company Common Stock",88.438
"DELL",N/A,N/A
"DF","Dean Foods Company Common Stock",18.94
"DFS","Discover Financial Services Com",59.51
"DG","Dollar General Corporation Comm",74.235
"DGX","Quest Diagnostics Incorporated ",71.70
