"A","Agilent Technologies, Inc. Comm",42.09
"AA","Alcoa Inc. Common Stock",13.57
"AAPL","Apple Inc.",128.56
"ABC","AmerisourceBergen Corporation C",113.96
"ABT","Abbott Laboratories Common Stoc",48.565
"ACE","Ace Limited Common Stock",108.11
"ACN","Accenture plc. Class A Ordinary",96.88
"ADBE","Adobe Systems Incorporated",78.94
"ADI","Analog Devices, Inc.",63.11
"ADM","Archer-Daniels-Midland Company ",53.105
"ADP","Automatic Data Processing, Inc.",87.67
"ADSK","Autodesk, Inc.",59.03
"ADT","ADT Corporation Common Stock",37.76
"AEE","Ameren Corporation Common Stock",40.57
"AEP","American Electric Power Company",55.54
"AES","The AES Corporation Common Stoc",13.72
"AET","Aetna Inc. Common Stock",111.76
"AFL","AFLAC Incorporated Common Stock",63.54
"AGN",N/A,N/A
"AIG","American International Group, I",58.37
"AIV","Apartment Investment and Manage",38.13
"AIZ","Assurant, Inc. Common Stock",65.67
"AKAM","Akamai Technologies, Inc.",78.005
"ALL","Allstate Corporation (The) Comm",67.65
"ALTR","Altera Corporation",44.6499
"ALXN","Alexion Pharmaceuticals, Inc.",160.875
"AMAT","Applied Materials, Inc.",20.29
"AMD","Advanced Micro Devices",2.36
"AMGN","Amgen Inc.",162.7842
"AMP","Ameriprise Financial, Inc. Comm",127.54
"AMT","American Tower Corporation (REI",95.14
"AMZN","Amazon.com, Inc.",426.355
"AN","AutoNation, Inc. Common Stock",62.255
"ANF","Abercrombie & Fitch Company Com",21.34
"AON","Aon plc Class A Ordinary Shares",99.35
"APA","Apache Corporation Common Stock",63.43
"APC","Anadarko Petroleum Corporation ",84.505
"APD","Air Products and Chemicals, Inc",148.80
"APH","Amphenol Corporation Common Sto",57.82
"APOL","Apollo Education Group, Inc.",16.965
"ARG","Airgas, Inc. Common Stock",103.01
"ATI","Allegheny Technologies Incorpor",37.66
"AVB","AvalonBay Communities, Inc. Com",168.55
"AVP","Avon Products, Inc. Common Stoc",7.05
"AVY","Avery Dennison Corporation Comm",60.162
"AXP","American Express Company Common",80.18
"AZO","AutoZone, Inc. Common Stock",684.42
"BA","Boeing Company (The) Common Sto",146.502
"BAC","Bank of America Corporation Com",16.3435
"BAX","Baxter International Inc. Commo",69.29
"BBBY","Bed Bath & Beyond Inc.",69.59
"BBT","BB&T Corporation Common Stock",38.56
"BBY","Best Buy Co., Inc. Common Stock",34.59
"BCR","C.R. Bard, Inc. Common Stock",172.70
"BDX","Becton, Dickinson and Company C",141.08
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.73
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.87
"BIG","Big Lots, Inc. Common Stock",46.26
"BIIB","Biogen Idec Inc.",391.175
"BK","Bank of New York Mellon Corpora",43.045
"BLK","BlackRock, Inc. Common Stock",369.85
"BLL","Ball Corporation Common Stock",72.97
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.22
"BMY","Bristol-Myers Squibb Company Co",67.19
"BRCM","Broadcom Corporation",47.30
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.815
"BTU","Peabody Energy Corporation Comm",4.315
