"A","Agilent Technologies, Inc. Comm",42.055
"AA","Alcoa Inc. Common Stock",13.56
"AAPL","Apple Inc.",128.875
"ABC","AmerisourceBergen Corporation C",114.015
"ABT","Abbott Laboratories Common Stoc",48.625
"ACE","Ace Limited Common Stock",108.18
"ACN","Accenture plc. Class A Ordinary",96.96
"ADBE","Adobe Systems Incorporated",78.69
"ADI","Analog Devices, Inc.",63.13
"ADM","Archer-Daniels-Midland Company ",53.05
"ADP","Automatic Data Processing, Inc.",87.55
"ADSK","Autodesk, Inc.",58.9937
"ADT","ADT Corporation Common Stock",37.56
"AEE","Ameren Corporation Common Stock",40.56
"AEP","American Electric Power Company",55.60
"AES","The AES Corporation Common Stoc",13.72
"AET","Aetna Inc. Common Stock",112.29
"AFL","AFLAC Incorporated Common Stock",63.615
"AGN",N/A,N/A
"AIG","American International Group, I",58.34
"AIV","Apartment Investment and Manage",38.255
"AIZ","Assurant, Inc. Common Stock",65.70
"AKAM","Akamai Technologies, Inc.",77.96
"ALL","Allstate Corporation (The) Comm",67.63
"ALTR","Altera Corporation",44.36
"ALXN","Alexion Pharmaceuticals, Inc.",160.81
"AMAT","Applied Materials, Inc.",20.275
"AMD","Advanced Micro Devices",2.34
"AMGN","Amgen Inc.",162.47
"AMP","Ameriprise Financial, Inc. Comm",127.59
"AMT","American Tower Corporation (REI",95.20
"AMZN","Amazon.com, Inc.",425.3816
"AN","AutoNation, Inc. Common Stock",62.17
"ANF","Abercrombie & Fitch Company Com",21.45
"AON","Aon plc Class A Ordinary Shares",99.32
"APA","Apache Corporation Common Stock",63.68
"APC","Anadarko Petroleum Corporation ",85.06
"APD","Air Products and Chemicals, Inc",148.73
"APH","Amphenol Corporation Common Sto",57.715
"APOL","Apollo Education Group, Inc.",16.85
"ARG","Airgas, Inc. Common Stock",102.93
"ATI","Allegheny Technologies Incorpor",37.51
"AVB","AvalonBay Communities, Inc. Com",168.57
"AVP","Avon Products, Inc. Common Stoc",6.995
"AVY","Avery Dennison Corporation Comm",60.43
"AXP","American Express Company Common",80.1667
"AZO","AutoZone, Inc. Common Stock",686.41
"BA","Boeing Company (The) Common Sto",146.83
"BAC","Bank of America Corporation Com",16.385
"BAX","Baxter International Inc. Commo",69.38
"BBBY","Bed Bath & Beyond Inc.",73.13
"BBT","BB&T Corporation Common Stock",38.705
"BBY","Best Buy Co., Inc. Common Stock",34.63
"BCR","C.R. Bard, Inc. Common Stock",173.06
"BDX","Becton, Dickinson and Company C",141.37
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.75
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",66.22
"BIG","Big Lots, Inc. Common Stock",46.105
"BIIB","Biogen Idec Inc.",391.199
"BK","Bank of New York Mellon Corpora",43.01
"BLK","BlackRock, Inc. Common Stock",369.66
"BLL","Ball Corporation Common Stock",72.915
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.21
"BMY","Bristol-Myers Squibb Company Co",67.49
"BRCM","Broadcom Corporation",47.325
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.84
"BTU","Peabody Energy Corporation Comm",4.315
"BWA","BorgWarner Inc. Common Stock",61.82
"BXP","Boston Properties, Inc. Common ",134.15
"C","Citigroup, Inc. Common Stock",54.335
"CA","CA Inc.",31.775
"CAG","ConAgra Foods, Inc. Common Stoc",38.345
"CAH","Cardinal Health, Inc. Common St",87.49
"CAM","Cameron International Corporati",52.20
"CAT","Caterpillar, Inc. Common Stock",88.46
"CB","Chubb Corporation (The) Common ",98.845
"CBG","CBRE Group Inc Common Stock Cla",38.54
"CBS","CBS Corporation Class B Common ",59.77
"CCE","Coca-Cola Enterprises, Inc. Com",46.485
"CCI","Crown Castle International Corp",83.54
"CCL","Carnival Corporation Common Sto",47.96
"CELG","Celgene Corporation",115.447
"CERN","Cerner Corporation",67.31
"CF","CF Industries Holdings, Inc. Co",306.79
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",15.00
"CHRW","C.H. Robinson Worldwide, Inc.",64.38
"CI","Cigna Corporation Common Stock",131.68
"CINF","Cincinnati Financial Corporatio",50.84
"CL","Colgate-Palmolive Company Commo",68.55
"CLF","Cliffs Natural Resources Inc Co",5.68
"CLX","Clorox Company (The) Common Sto",108.97
"CMA","Comerica Incorporated Common St",48.085
"CMCSA","Comcast Corporation",56.42
"CME","CME Group Inc.",94.697
"CMG","Chipotle Mexican Grill, Inc. Co",632.83
"CMI","Cummins Inc. Common Stock",142.23
"CMS","CMS Energy Corporation Common S",33.76
"CNP","CenterPoint Energy, Inc (Holdin",20.40
"CNX","CONSOL Energy Inc. Common Stock",32.10
"COF","Capital One Financial Corporati",83.975
"COG","Cabot Oil & Gas Corporation Com",35.435
"COH","Coach, Inc. Common Stock",37.55
"COL","Rockwell Collins, Inc. Common S",97.96
"COP","ConocoPhillips Common Stock",65.949
"COST","Costco Wholesale Corporation",144.5464
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.855
"CRM","Salesforce.com Inc Common Stock",72.355
"CSC","Computer Sciences Corporation C",67.795
"CSCO","Cisco Systems, Inc.",29.50
"CSX","CSX Corporation Common Stock",35.37
