"A","Agilent Technologies, Inc. Comm",42.06,+0.01,"+0.02%"
"AA","Alcoa Inc. Common Stock",13.595,-0.045,"-0.330%"
"AAPL","Apple Inc.",128.3099,-0.6401,"-0.4964%"
"ABC","AmerisourceBergen Corporation C",114.67,+0.01,"+0.01%"
"ABT","Abbott Laboratories Common Stoc",48.75,+0.08,"+0.16%"
"ACE","Ace Limited Common Stock",108.32,-0.27,"-0.25%"
"ACN","Accenture plc. Class A Ordinary",96.63,-0.35,"-0.36%"
"ADBE","Adobe Systems Incorporated",79.12,-0.31,"-0.39%"
"ADI","Analog Devices, Inc.",63.14,-0.26,"-0.41%"
"ADM","Archer-Daniels-Midland Company ",52.75,-0.13,"-0.25%"
"ADP","Automatic Data Processing, Inc.",87.70,-0.29,"-0.33%"
"ADSK","Autodesk, Inc.",58.80,-0.18,"-0.31%"
"ADT","ADT Corporation Common Stock",37.81,+0.04,"+0.11%"
"AEE","Ameren Corporation Common Stock",40.5102,+0.2502,"+0.6215%"
"AEP","American Electric Power Company",55.42,+0.32,"+0.58%"
"AES","The AES Corporation Common Stoc",13.60,+0.06,"+0.44%"
"AET","Aetna Inc. Common Stock",111.91,+0.43,"+0.39%"
"AFL","AFLAC Incorporated Common Stock",63.355,-0.415,"-0.651%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.6326,-0.3374,"-0.5722%"
"AIV","Apartment Investment and Manage",38.17,+0.27,"+0.71%"
"AIZ","Assurant, Inc. Common Stock",65.51,+0.59,"+0.91%"
"AKAM","Akamai Technologies, Inc.",78.08,-0.28,"-0.36%"
"ALL","Allstate Corporation (The) Comm",67.84,+0.20,"+0.30%"
"ALTR","Altera Corporation",43.92,-0.39,"-0.88%"
"ALXN","Alexion Pharmaceuticals, Inc.",162.55,+0.86,"+0.53%"
"AMAT","Applied Materials, Inc.",20.39,+0.53,"+2.67%"
"AMD","Advanced Micro Devices",2.33,+0.00,"+0.00%"
"AMGN","Amgen Inc.",162.24,+0.26,"+0.16%"
"AMP","Ameriprise Financial, Inc. Comm",127.43,-0.87,"-0.68%"
"AMT","American Tower Corporation (REI",94.73,-0.08,"-0.08%"
"AMZN","Amazon.com, Inc.",428.21,-4.07,"-0.94%"
"AN","AutoNation, Inc. Common Stock",62.31,-0.01,"-0.02%"
"ANF","Abercrombie & Fitch Company Com",21.29,+0.04,"+0.19%"
"AON","Aon plc Class A Ordinary Shares",100.03,+0.05,"+0.05%"
"APA","Apache Corporation Common Stock",62.84,+0.21,"+0.34%"
"APC","Anadarko Petroleum Corporation ",84.48,-0.01,"-0.01%"
"APD","Air Products and Chemicals, Inc",148.04,+0.42,"+0.28%"
"APH","Amphenol Corporation Common Sto",57.83,-0.25,"-0.43%"
"APOL","Apollo Education Group, Inc.",16.79,+0.03,"+0.15%"
"ARG","Airgas, Inc. Common Stock",102.45,-0.55,"-0.53%"
"ATI","Allegheny Technologies Incorpor",37.32,-0.13,"-0.35%"
"AVB","AvalonBay Communities, Inc. Com",168.124,+0.934,"+0.559%"
"AVP","Avon Products, Inc. Common Stoc",6.96,-0.11,"-1.56%"
"AVY","Avery Dennison Corporation Comm",59.95,-0.56,"-0.93%"
"AXP","American Express Company Common",80.7621,+0.0121,"+0.0150%"
"AZO","AutoZone, Inc. Common Stock",683.29,+1.16,"+0.17%"
"BA","Boeing Company (The) Common Sto",147.019,-0.941,"-0.636%"
"BAC","Bank of America Corporation Com",16.37,-0.15,"-0.91%"
"BAX","Baxter International Inc. Commo",69.32,+0.28,"+0.41%"
"BBBY","Bed Bath & Beyond Inc.",69.42,-0.23,"-0.33%"
"BBT","BB&T Corporation Common Stock",38.73,-0.44,"-1.12%"
"BBY","Best Buy Co., Inc. Common Stock",34.59,-0.23,"-0.66%"
"BCR","C.R. Bard, Inc. Common Stock",172.55,+0.43,"+0.25%"
"BDX","Becton, Dickinson and Company C",141.27,+0.23,"+0.16%"
"BEAM",N/A,N/A,+0,"+0%"
"BEN","Franklin Resources, Inc. Common",51.82,-0.32,"-0.61%"
"BF.B",N/A,N/A,N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.79,+0.29,"+0.44%"
"BIG","Big Lots, Inc. Common Stock",46.19,+0.13,"+0.28%"
"BIIB","Biogen Idec Inc.",392.66,-1.69,"-0.43%"
"BK","Bank of New York Mellon Corpora",43.09,-0.28,"-0.65%"
"BLK","BlackRock, Inc. Common Stock",370.03,-1.44,"-0.39%"
"BLL","Ball Corporation Common Stock",72.81,+0.84,"+1.17%"
"BMC","BMC Software, Inc.",46.30,+0.00,"+0.00%"
"BMS","Bemis Company, Inc. Common Stoc",46.31,+0.12,"+0.26%"
"BMY","Bristol-Myers Squibb Company Co",68.00,+0.55,"+0.82%"
"BRCM","Broadcom Corporation",47.23,+0.05,"+0.11%"
"BRK.B",N/A,N/A,N/A,N/A
"BSX","Boston Scientific Corporation C",17.79,-0.12,"-0.67%"
"BTU","Peabody Energy Corporation Comm",4.32,-0.10,"-2.21%"
"BWA","BorgWarner Inc. Common Stock",61.42,-0.24,"-0.39%"
"BXP","Boston Properties, Inc. Common ",134.49,+1.13,"+0.85%"
"C","Citigroup, Inc. Common Stock",54.1338,-0.4662,"-0.8538%"
"CA","CA Inc.",31.80,-0.22,"-0.69%"
"CAG","ConAgra Foods, Inc. Common Stoc",38.1457,+0.2157,"+0.5687%"
"CAH","Cardinal Health, Inc. Common St",88.04,+0.04,"+0.05%"
"CAM","Cameron International Corporati",52.40,-0.19,"-0.36%"
"CAT","Caterpillar, Inc. Common Stock",87.75,-0.99,"-1.12%"
"CB","Chubb Corporation (The) Common ",99.175,+0.045,"+0.045%"
"CBG","CBRE Group Inc Common Stock Cla",38.52,+0.00,"+0.00%"
"CBS","CBS Corporation Class B Common ",59.69,+0.05,"+0.08%"
"CCE","Coca-Cola Enterprises, Inc. Com",46.33,-0.05,"-0.11%"
"CCI","Crown Castle International Corp",83.20,+0.42,"+0.51%"
"CCL","Carnival Corporation Common Sto",47.69,+0.32,"+0.68%"
"CELG","Celgene Corporation",115.05,-0.03,"-0.03%"
"CERN","Cerner Corporation",68.10,-0.04,"-0.06%"
"CF","CF Industries Holdings, Inc. Co",303.96,-0.33,"-0.11%"
"CFN",N/A,N/A,N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.80,-0.29,"-1.92%"
