"A","Agilent Technologies, Inc. Comm",42.13
"AA","Alcoa Inc. Common Stock",13.555
"AAPL","Apple Inc.",128.46
"ABC","AmerisourceBergen Corporation C",114.31
"ABT","Abbott Laboratories Common Stoc",48.5801
"ACE","Ace Limited Common Stock",108.20
"ACN","Accenture plc. Class A Ordinary",96.58
"ADBE","Adobe Systems Incorporated",78.99
"ADI","Analog Devices, Inc.",63.03
"ADM","Archer-Daniels-Midland Company ",52.90
"ADP","Automatic Data Processing, Inc.",87.59
"ADSK","Autodesk, Inc.",58.98
"ADT","ADT Corporation Common Stock",37.89
"AEE","Ameren Corporation Common Stock",40.43
"AEP","American Electric Power Company",55.3901
"AES","The AES Corporation Common Stoc",13.635
"AET","Aetna Inc. Common Stock",112.09
"AFL","AFLAC Incorporated Common Stock",63.31
"AGN",N/A,N/A
"AIG","American International Group, I",58.51
"AIV","Apartment Investment and Manage",38.25
"AIZ","Assurant, Inc. Common Stock",65.56
"AKAM","Akamai Technologies, Inc.",77.71
"ALL","Allstate Corporation (The) Comm",67.71
"ALTR","Altera Corporation",44.18
"ALXN","Alexion Pharmaceuticals, Inc.",161.48
"AMAT","Applied Materials, Inc.",20.495
"AMD","Advanced Micro Devices",2.355
"AMGN","Amgen Inc.",162.73
"AMP","Ameriprise Financial, Inc. Comm",127.61
"AMT","American Tower Corporation (REI",94.95
"AMZN","Amazon.com, Inc.",425.82
"AN","AutoNation, Inc. Common Stock",62.37
"ANF","Abercrombie & Fitch Company Com",21.50
"AON","Aon plc Class A Ordinary Shares",99.59
"APA","Apache Corporation Common Stock",62.69
"APC","Anadarko Petroleum Corporation ",84.2801
"APD","Air Products and Chemicals, Inc",148.53
"APH","Amphenol Corporation Common Sto",57.92
"APOL","Apollo Education Group, Inc.",16.79
"ARG","Airgas, Inc. Common Stock",102.83
"ATI","Allegheny Technologies Incorpor",37.53
"AVB","AvalonBay Communities, Inc. Com",168.81
"AVP","Avon Products, Inc. Common Stoc",7.15
"AVY","Avery Dennison Corporation Comm",60.09
"AXP","American Express Company Common",80.46
"AZO","AutoZone, Inc. Common Stock",683.86
"BA","Boeing Company (The) Common Sto",146.68
"BAC","Bank of America Corporation Com",16.355
"BAX","Baxter International Inc. Commo",69.55
"BBBY","Bed Bath & Beyond Inc.",69.6088
"BBT","BB&T Corporation Common Stock",38.6887
"BBY","Best Buy Co., Inc. Common Stock",34.5999
"BCR","C.R. Bard, Inc. Common Stock",172.47
"BDX","Becton, Dickinson and Company C",141.22
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.74
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.43
"BIG","Big Lots, Inc. Common Stock",46.36
"BIIB","Biogen Idec Inc.",392.74
"BK","Bank of New York Mellon Corpora",43.105
"BLK","BlackRock, Inc. Common Stock",369.57
"BLL","Ball Corporation Common Stock",72.82
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.23
"BMY","Bristol-Myers Squibb Company Co",67.70
"BRCM","Broadcom Corporation",47.28
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.835
"BTU","Peabody Energy Corporation Comm",4.30
"BWA","BorgWarner Inc. Common Stock",61.49
"BXP","Boston Properties, Inc. Common ",134.69
"C","Citigroup, Inc. Common Stock",54.16
"CA","CA Inc.",31.735
"CAG","ConAgra Foods, Inc. Common Stoc",38.255
"CAH","Cardinal Health, Inc. Common St",87.865
"CAM","Cameron International Corporati",52.36
"CAT","Caterpillar, Inc. Common Stock",88.15
"CB","Chubb Corporation (The) Common ",98.94
"CBG","CBRE Group Inc Common Stock Cla",38.56
"CBS","CBS Corporation Class B Common ",59.76
"CCE","Coca-Cola Enterprises, Inc. Com",46.30
"CCI","Crown Castle International Corp",83.38
"CCL","Carnival Corporation Common Sto",47.88
"CELG","Celgene Corporation",115.50
"CERN","Cerner Corporation",67.79
"CF","CF Industries Holdings, Inc. Co",306.54
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.755
"CHRW","C.H. Robinson Worldwide, Inc.",64.60
"CI","Cigna Corporation Common Stock",132.26
"CINF","Cincinnati Financial Corporatio",50.91
"CL","Colgate-Palmolive Company Commo",68.60
"CLF","Cliffs Natural Resources Inc Co",5.6001
"CLX","Clorox Company (The) Common Sto",109.06
"CMA","Comerica Incorporated Common St",48.14
"CMCSA","Comcast Corporation",56.49
"CME","CME Group Inc.",95.00
"CMG","Chipotle Mexican Grill, Inc. Co",630.29
"CMI","Cummins Inc. Common Stock",141.83
"CMS","CMS Energy Corporation Common S",33.565
"CNP","CenterPoint Energy, Inc (Holdin",20.21
"CNX","CONSOL Energy Inc. Common Stock",31.815
"COF","Capital One Financial Corporati",84.12
"COG","Cabot Oil & Gas Corporation Com",35.325
"COH","Coach, Inc. Common Stock",37.56
"COL","Rockwell Collins, Inc. Common S",97.91
"COP","ConocoPhillips Common Stock",65.47
"COST","Costco Wholesale Corporation",144.554
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.6854
"CRM","Salesforce.com Inc Common Stock",72.96
"CSC","Computer Sciences Corporation C",67.24
"CSCO","Cisco Systems, Inc.",29.5728
"CSX","CSX Corporation Common Stock",35.29
"CTAS","Cintas Corporation",85.495
"CTL","CenturyLink, Inc. Common Stock",34.41
"CTSH","Cognizant Technology Solutions ",63.11
"CTXS","Citrix Systems, Inc.",65.8497
"CVC","Cablevision Systems Corporation",20.26
"CVH",N/A,N/A
"CVS","CVS Health Corporation Common S",101.73
"CVX","Chevron Corporation Common Stoc",107.62
"D","Dominion Resources, Inc. Common",71.89
"DD","E.I. du Pont de Nemours and Com",70.4947
"DE","Deere & Company Common Stock",88.43
"DELL",N/A,N/A
"DF","Dean Foods Company Common Stock",18.9449
"DFS","Discover Financial Services Com",59.66
"DG","Dollar General Corporation Comm",74.26
"DGX","Quest Diagnostics Incorporated ",71.78
"DHI","D.R. Horton, Inc. Common Stock",25.90
"DHR","Danaher Corporation Common Stoc",86.91
