"A","Agilent Technologies, Inc. Comm",42.065,+0.015,"+0.036%"
"AA","Alcoa Inc. Common Stock",13.60,-0.04,"-0.29%"
"AAPL","Apple Inc.",128.42,-0.53,"-0.41%"
"ABC","AmerisourceBergen Corporation C",114.72,+0.06,"+0.05%"
"ABT","Abbott Laboratories Common Stoc",48.73,+0.06,"+0.12%"
"ACE","Ace Limited Common Stock",108.39,-0.20,"-0.18%"
"ACN","Accenture plc. Class A Ordinary",96.51,-0.47,"-0.48%"
"ADBE","Adobe Systems Incorporated",79.21,-0.22,"-0.28%"
"ADI","Analog Devices, Inc.",63.13,-0.27,"-0.43%"
"ADM","Archer-Daniels-Midland Company ",52.70,-0.18,"-0.34%"
"ADP","Automatic Data Processing, Inc.",87.77,-0.22,"-0.25%"
"ADSK","Autodesk, Inc.",58.81,-0.17,"-0.29%"
"ADT","ADT Corporation Common Stock",37.79,+0.02,"+0.05%"
"AEE","Ameren Corporation Common Stock",40.46,+0.20,"+0.50%"
"AEP","American Electric Power Company",55.395,+0.295,"+0.535%"
"AES","The AES Corporation Common Stoc",13.575,+0.035,"+0.258%"
"AET","Aetna Inc. Common Stock",111.94,+0.46,"+0.41%"
"AFL","AFLAC Incorporated Common Stock",63.33,-0.44,"-0.69%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.75,-0.22,"-0.37%"
"AIV","Apartment Investment and Manage",38.11,+0.21,"+0.55%"
"AIZ","Assurant, Inc. Common Stock",65.50,+0.58,"+0.89%"
"AKAM","Akamai Technologies, Inc.",78.00,-0.36,"-0.46%"
"ALL","Allstate Corporation (The) Comm",67.85,+0.21,"+0.31%"
"ALTR","Altera Corporation",43.98,-0.33,"-0.74%"
"ALXN","Alexion Pharmaceuticals, Inc.",162.44,+0.75,"+0.46%"
"AMAT","Applied Materials, Inc.",20.33,+0.47,"+2.37%"
"AMD","Advanced Micro Devices",2.34,+0.01,"+0.43%"
"AMGN","Amgen Inc.",162.25,+0.27,"+0.17%"
"AMP","Ameriprise Financial, Inc. Comm",127.68,-0.62,"-0.48%"
"AMT","American Tower Corporation (REI",94.63,-0.18,"-0.19%"
"AMZN","Amazon.com, Inc.",428.74,-3.54,"-0.82%"
"AN","AutoNation, Inc. Common Stock",62.34,+0.02,"+0.03%"
"ANF","Abercrombie & Fitch Company Com",21.29,+0.04,"+0.19%"
"AON","Aon plc Class A Ordinary Shares",100.12,+0.14,"+0.14%"
"APA","Apache Corporation Common Stock",62.94,+0.31,"+0.49%"
"APC","Anadarko Petroleum Corporation ",84.41,-0.08,"-0.09%"
"APD","Air Products and Chemicals, Inc",148.12,+0.50,"+0.34%"
"APH","Amphenol Corporation Common Sto",57.90,-0.18,"-0.31%"
"APOL","Apollo Education Group, Inc.",16.80,+0.03,"+0.21%"
"ARG","Airgas, Inc. Common Stock",102.565,-0.435,"-0.422%"
"ATI","Allegheny Technologies Incorpor",37.27,-0.18,"-0.48%"
"AVB","AvalonBay Communities, Inc. Com",167.98,+0.79,"+0.47%"
"AVP","Avon Products, Inc. Common Stoc",6.96,-0.11,"-1.56%"
"AVY","Avery Dennison Corporation Comm",59.98,-0.53,"-0.88%"
"AXP","American Express Company Common",80.80,+0.05,"+0.06%"
"AZO","AutoZone, Inc. Common Stock",683.7175,+1.5875,"+0.2327%"
"BA","Boeing Company (The) Common Sto",147.13,-0.83,"-0.56%"
"BAC","Bank of America Corporation Com",16.42,-0.10,"-0.61%"
"BAX","Baxter International Inc. Commo",69.23,+0.19,"+0.28%"
"BBBY","Bed Bath & Beyond Inc.",69.4553,-0.1947,"-0.2795%"
"BBT","BB&T Corporation Common Stock",38.83,-0.34,"-0.87%"
"BBY","Best Buy Co., Inc. Common Stock",34.61,-0.21,"-0.60%"
"BCR","C.R. Bard, Inc. Common Stock",172.05,-0.07,"-0.04%"
"BDX","Becton, Dickinson and Company C",141.28,+0.24,"+0.17%"
"BEAM",N/A,N/A,+0,"+0%"
"BEN","Franklin Resources, Inc. Common",51.86,-0.28,"-0.54%"
"BF.B",N/A,N/A,N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.71,+0.21,"+0.32%"
"BIG","Big Lots, Inc. Common Stock",46.24,+0.18,"+0.39%"
"BIIB","Biogen Idec Inc.",393.09,-1.26,"-0.32%"
"BK","Bank of New York Mellon Corpora",43.16,-0.21,"-0.48%"
"BLK","BlackRock, Inc. Common Stock",370.46,-1.01,"-0.27%"
"BLL","Ball Corporation Common Stock",72.94,+0.97,"+1.35%"
"BMC","BMC Software, Inc.",46.30,+0.00,"+0.00%"
"BMS","Bemis Company, Inc. Common Stoc",46.33,+0.14,"+0.30%"
"BMY","Bristol-Myers Squibb Company Co",68.00,+0.55,"+0.82%"
"BRCM","Broadcom Corporation",47.28,+0.10,"+0.21%"
"BRK.B",N/A,N/A,N/A,N/A
"BSX","Boston Scientific Corporation C",17.81,-0.10,"-0.56%"
"BTU","Peabody Energy Corporation Comm",4.2999,-0.1176,"-2.6621%"
"BWA","BorgWarner Inc. Common Stock",61.44,-0.22,"-0.36%"
"BXP","Boston Properties, Inc. Common ",134.33,+0.97,"+0.73%"
"C","Citigroup, Inc. Common Stock",54.27,-0.33,"-0.60%"
"CA","CA Inc.",31.825,-0.195,"-0.609%"
"CAG","ConAgra Foods, Inc. Common Stoc",38.18,+0.25,"+0.66%"
"CAH","Cardinal Health, Inc. Common St",87.98,-0.02,"-0.02%"
"CAM","Cameron International Corporati",52.36,-0.23,"-0.44%"
