"A","Agilent Technologies, Inc. Comm",42.065
"AA","Alcoa Inc. Common Stock",13.56
"AAPL","Apple Inc.",128.60
"ABC","AmerisourceBergen Corporation C",113.81
"ABT","Abbott Laboratories Common Stoc",48.545
"ACE","Ace Limited Common Stock",108.0769
"ACN","Accenture plc. Class A Ordinary",96.94
"ADBE","Adobe Systems Incorporated",78.73
"ADI","Analog Devices, Inc.",62.99
"ADM","Archer-Daniels-Midland Company ",52.94
"ADP","Automatic Data Processing, Inc.",87.56
"ADSK","Autodesk, Inc.",59.02
"ADT","ADT Corporation Common Stock",37.57
"AEE","Ameren Corporation Common Stock",40.57
"AEP","American Electric Power Company",55.56
"AES","The AES Corporation Common Stoc",13.73
"AET","Aetna Inc. Common Stock",111.995
"AFL","AFLAC Incorporated Common Stock",63.52
"AGN",N/A,N/A
"AIG","American International Group, I",58.345
"AIV","Apartment Investment and Manage",38.21
"AIZ","Assurant, Inc. Common Stock",65.68
"AKAM","Akamai Technologies, Inc.",78.005
"ALL","Allstate Corporation (The) Comm",67.61
"ALTR","Altera Corporation",44.41
"ALXN","Alexion Pharmaceuticals, Inc.",160.63
"AMAT","Applied Materials, Inc.",20.251
"AMD","Advanced Micro Devices",2.35
"AMGN","Amgen Inc.",162.02
"AMP","Ameriprise Financial, Inc. Comm",127.47
"AMT","American Tower Corporation (REI",95.13
"AMZN","Amazon.com, Inc.",425.10
"AN","AutoNation, Inc. Common Stock",62.18
"ANF","Abercrombie & Fitch Company Com",21.40
"AON","Aon plc Class A Ordinary Shares",99.14
"APA","Apache Corporation Common Stock",63.72
"APC","Anadarko Petroleum Corporation ",85.25
"APD","Air Products and Chemicals, Inc",148.58
"APH","Amphenol Corporation Common Sto",57.65
"APOL","Apollo Education Group, Inc.",16.855
"ARG","Airgas, Inc. Common Stock",102.81
"ATI","Allegheny Technologies Incorpor",37.50
"AVB","AvalonBay Communities, Inc. Com",168.66
"AVP","Avon Products, Inc. Common Stoc",6.995
"AVY","Avery Dennison Corporation Comm",60.4325
"AXP","American Express Company Common",80.06
"AZO","AutoZone, Inc. Common Stock",686.69
"BA","Boeing Company (The) Common Sto",146.82
"BAC","Bank of America Corporation Com",16.345
"BAX","Baxter International Inc. Commo",69.35
"BBBY","Bed Bath & Beyond Inc.",72.94
"BBT","BB&T Corporation Common Stock",38.63
"BBY","Best Buy Co., Inc. Common Stock",34.675
"BCR","C.R. Bard, Inc. Common Stock",172.65
"BDX","Becton, Dickinson and Company C",141.13
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.76
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",66.28
"BIG","Big Lots, Inc. Common Stock",46.12
"BIIB","Biogen Idec Inc.",390.55
"BK","Bank of New York Mellon Corpora",42.9901
"BLK","BlackRock, Inc. Common Stock",368.8478
"BLL","Ball Corporation Common Stock",72.75
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.16
"BMY","Bristol-Myers Squibb Company Co",67.45
"BRCM","Broadcom Corporation",47.33
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.825
"BTU","Peabody Energy Corporation Comm",4.31
"BWA","BorgWarner Inc. Common Stock",61.76
"BXP","Boston Properties, Inc. Common ",134.139
"C","Citigroup, Inc. Common Stock",54.26
"CA","CA Inc.",31.722
"CAG","ConAgra Foods, Inc. Common Stoc",38.2836
"CAH","Cardinal Health, Inc. Common St",87.25
"CAM","Cameron International Corporati",52.31
"CAT","Caterpillar, Inc. Common Stock",88.37
"CB","Chubb Corporation (The) Common ",98.74
"CBG","CBRE Group Inc Common Stock Cla",38.53
"CBS","CBS Corporation Class B Common ",59.77
"CCE","Coca-Cola Enterprises, Inc. Com",46.485
"CCI","Crown Castle International Corp",83.42
"CCL","Carnival Corporation Common Sto",47.9138
"CELG","Celgene Corporation",115.2635
"CERN","Cerner Corporation",67.3664
"CF","CF Industries Holdings, Inc. Co",306.36
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.98
"CHRW","C.H. Robinson Worldwide, Inc.",64.46
"CI","Cigna Corporation Common Stock",131.46
"CINF","Cincinnati Financial Corporatio",50.7714
"CL","Colgate-Palmolive Company Commo",68.50
"CLF","Cliffs Natural Resources Inc Co",5.6573
"CLX","Clorox Company (The) Common Sto",108.91
"CMA","Comerica Incorporated Common St",48.04
"CMCSA","Comcast Corporation",56.3901
"CME","CME Group Inc.",94.66
"CMG","Chipotle Mexican Grill, Inc. Co",633.135
"CMI","Cummins Inc. Common Stock",142.14
"CMS","CMS Energy Corporation Common S",33.70
"CNP","CenterPoint Energy, Inc (Holdin",20.405
"CNX","CONSOL Energy Inc. Common Stock",32.10
"COF","Capital One Financial Corporati",83.81
