"A","Agilent Technologies, Inc. Comm",42.045,-0.005,"-0.012%"
"AA","Alcoa Inc. Common Stock",13.54,-0.10,"-0.73%"
"AAPL","Apple Inc.",129.02,+0.07,"+0.05%"
"ABC","AmerisourceBergen Corporation C",114.85,+0.19,"+0.17%"
"ABT","Abbott Laboratories Common Stoc",48.62,-0.05,"-0.10%"
"ACE","Ace Limited Common Stock",108.49,-0.10,"-0.09%"
"ACN","Accenture plc. Class A Ordinary",96.87,-0.11,"-0.11%"
"ADBE","Adobe Systems Incorporated",79.70,+0.27,"+0.34%"
"ADI","Analog Devices, Inc.",63.36,-0.04,"-0.06%"
"ADM","Archer-Daniels-Midland Company ",52.75,-0.13,"-0.25%"
"ADP","Automatic Data Processing, Inc.",87.99,+0.00,"+0.00%"
"ADSK","Autodesk, Inc.",58.89,-0.09,"-0.15%"
"ADT","ADT Corporation Common Stock",38.02,+0.25,"+0.66%"
"AEE","Ameren Corporation Common Stock",40.39,+0.13,"+0.32%"
"AEP","American Electric Power Company",55.26,+0.16,"+0.29%"
"AES","The AES Corporation Common Stoc",13.50,-0.04,"-0.30%"
"AET","Aetna Inc. Common Stock",111.75,+0.27,"+0.24%"
"AFL","AFLAC Incorporated Common Stock",63.67,-0.10,"-0.16%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.83,-0.14,"-0.24%"
"AIV","Apartment Investment and Manage",38.15,+0.25,"+0.66%"
"AIZ","Assurant, Inc. Common Stock",65.36,+0.44,"+0.68%"
"AKAM","Akamai Technologies, Inc.",77.56,-0.80,"-1.02%"
"ALL","Allstate Corporation (The) Comm",67.9236,+0.2836,"+0.4193%"
"ALTR","Altera Corporation",44.21,-0.10,"-0.23%"
"ALXN","Alexion Pharmaceuticals, Inc.",160.97,-0.72,"-0.45%"
"AMAT","Applied Materials, Inc.",20.4056,+0.5456,"+2.7472%"
"AMD","Advanced Micro Devices",2.355,+0.025,"+1.073%"
"AMGN","Amgen Inc.",162.15,+0.17,"+0.10%"
"AMP","Ameriprise Financial, Inc. Comm",127.62,-0.68,"-0.53%"
"AMT","American Tower Corporation (REI",94.40,-0.41,"-0.43%"
