"A","Agilent Technologies, Inc. Comm",42.08
"AA","Alcoa Inc. Common Stock",13.575
"AAPL","Apple Inc.",128.48
"ABC","AmerisourceBergen Corporation C",113.99
"ABT","Abbott Laboratories Common Stoc",48.541
"ACE","Ace Limited Common Stock",108.035
"ACN","Accenture plc. Class A Ordinary",96.955
"ADBE","Adobe Systems Incorporated",78.77
"ADI","Analog Devices, Inc.",62.99
"ADM","Archer-Daniels-Midland Company ",53.09
"ADP","Automatic Data Processing, Inc.",87.61
"ADSK","Autodesk, Inc.",58.97
"ADT","ADT Corporation Common Stock",37.74
"AEE","Ameren Corporation Common Stock",40.70
"AEP","American Electric Power Company",55.69
"AES","The AES Corporation Common Stoc",13.74
"AET","Aetna Inc. Common Stock",111.80
"AFL","AFLAC Incorporated Common Stock",63.45
"AGN",N/A,N/A
"AIG","American International Group, I",58.27
"AIV","Apartment Investment and Manage",38.16
"AIZ","Assurant, Inc. Common Stock",65.635
"AKAM","Akamai Technologies, Inc.",78.00
"ALL","Allstate Corporation (The) Comm",67.59
"ALTR","Altera Corporation",44.50
"ALXN","Alexion Pharmaceuticals, Inc.",160.22
"AMAT","Applied Materials, Inc.",20.20
"AMD","Advanced Micro Devices",2.36
"AMGN","Amgen Inc.",162.19
"AMP","Ameriprise Financial, Inc. Comm",127.44
"AMT","American Tower Corporation (REI",95.075
"AMZN","Amazon.com, Inc.",425.68
"AN","AutoNation, Inc. Common Stock",62.30
"ANF","Abercrombie & Fitch Company Com",21.41
"AON","Aon plc Class A Ordinary Shares",99.32
"APA","Apache Corporation Common Stock",63.64
"APC","Anadarko Petroleum Corporation ",84.7401
"APD","Air Products and Chemicals, Inc",148.67
"APH","Amphenol Corporation Common Sto",57.705
"APOL","Apollo Education Group, Inc.",16.95
"ARG","Airgas, Inc. Common Stock",102.835
"ATI","Allegheny Technologies Incorpor",37.57
"AVB","AvalonBay Communities, Inc. Com",168.41
"AVP","Avon Products, Inc. Common Stoc",7.02
"AVY","Avery Dennison Corporation Comm",60.26
"AXP","American Express Company Common",80.18
"AZO","AutoZone, Inc. Common Stock",686.69
"BA","Boeing Company (The) Common Sto",146.50
"BAC","Bank of America Corporation Com",16.34
"BAX","Baxter International Inc. Commo",69.29
"BBBY","Bed Bath & Beyond Inc.",72.44
"BBT","BB&T Corporation Common Stock",38.565
"BBY","Best Buy Co., Inc. Common Stock",34.67
"BCR","C.R. Bard, Inc. Common Stock",172.61
"BDX","Becton, Dickinson and Company C",140.96
"BEAM",N/A,N/A
