"A","Agilent Technologies, Inc. Comm",42.05,+0.00,"+0.00%"
"AA","Alcoa Inc. Common Stock",13.59,-0.05,"-0.37%"
"AAPL","Apple Inc.",128.43,-0.52,"-0.40%"
"ABC","AmerisourceBergen Corporation C",114.536,-0.124,"-0.108%"
"ABT","Abbott Laboratories Common Stoc",48.5801,-0.0899,"-0.1847%"
"ACE","Ace Limited Common Stock",108.30,-0.29,"-0.27%"
"ACN","Accenture plc. Class A Ordinary",96.55,-0.43,"-0.44%"
"ADBE","Adobe Systems Incorporated",79.26,-0.17,"-0.21%"
"ADI","Analog Devices, Inc.",63.22,-0.18,"-0.28%"
"ADM","Archer-Daniels-Midland Company ",52.74,-0.14,"-0.26%"
"ADP","Automatic Data Processing, Inc.",87.79,-0.20,"-0.23%"
"ADSK","Autodesk, Inc.",58.74,-0.24,"-0.41%"
"ADT","ADT Corporation Common Stock",38.08,+0.31,"+0.82%"
"AEE","Ameren Corporation Common Stock",40.36,+0.10,"+0.25%"
"AEP","American Electric Power Company",55.31,+0.21,"+0.38%"
"AES","The AES Corporation Common Stoc",13.53,-0.01,"-0.07%"
"AET","Aetna Inc. Common Stock",111.68,+0.20,"+0.18%"
"AFL","AFLAC Incorporated Common Stock",63.49,-0.28,"-0.44%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.70,-0.27,"-0.46%"
"AIV","Apartment Investment and Manage",38.05,+0.15,"+0.40%"
"AIZ","Assurant, Inc. Common Stock",65.25,+0.33,"+0.51%"
"AKAM","Akamai Technologies, Inc.",77.89,-0.47,"-0.60%"
"ALL","Allstate Corporation (The) Comm",67.795,+0.155,"+0.229%"
"ALTR","Altera Corporation",44.144,-0.166,"-0.375%"
"ALXN","Alexion Pharmaceuticals, Inc.",161.42,-0.27,"-0.17%"
"AMAT","Applied Materials, Inc.",20.35,+0.49,"+2.47%"
"AMD","Advanced Micro Devices",2.36,+0.03,"+1.29%"
"AMGN","Amgen Inc.",161.81,-0.17,"-0.10%"
"AMP","Ameriprise Financial, Inc. Comm",127.71,-0.59,"-0.46%"
"AMT","American Tower Corporation (REI",94.29,-0.52,"-0.55%"
"AMZN","Amazon.com, Inc.",427.46,-4.82,"-1.12%"
"AN","AutoNation, Inc. Common Stock",62.25,-0.07,"-0.11%"
"ANF","Abercrombie & Fitch Company Com",21.2456,-0.0044,"-0.0207%"
"AON","Aon plc Class A Ordinary Shares",99.99,+0.01,"+0.01%"
"APA","Apache Corporation Common Stock",62.86,+0.23,"+0.37%"
"APC","Anadarko Petroleum Corporation ",84.10,-0.39,"-0.46%"
