"A","Agilent Technologies, Inc. Comm",42.03,-0.02,"-0.05%"
"AA","Alcoa Inc. Common Stock",13.635,-0.005,"-0.037%"
"AAPL","Apple Inc.",128.69,-0.26,"-0.20%"
"ABC","AmerisourceBergen Corporation C",114.72,+0.06,"+0.05%"
"ABT","Abbott Laboratories Common Stoc",48.58,-0.09,"-0.18%"
"ACE","Ace Limited Common Stock",108.40,-0.19,"-0.17%"
"ACN","Accenture plc. Class A Ordinary",96.67,-0.31,"-0.32%"
"ADBE","Adobe Systems Incorporated",79.57,+0.14,"+0.18%"
"ADI","Analog Devices, Inc.",63.29,-0.11,"-0.17%"
"ADM","Archer-Daniels-Midland Company ",52.725,-0.155,"-0.293%"
"ADP","Automatic Data Processing, Inc.",87.94,-0.05,"-0.06%"
"ADSK","Autodesk, Inc.",58.83,-0.15,"-0.25%"
"ADT","ADT Corporation Common Stock",38.03,+0.26,"+0.69%"
"AEE","Ameren Corporation Common Stock",40.27,+0.01,"+0.02%"
"AEP","American Electric Power Company",55.17,+0.07,"+0.13%"
"AES","The AES Corporation Common Stoc",13.53,-0.01,"-0.07%"
"AET","Aetna Inc. Common Stock",111.83,+0.35,"+0.31%"
"AFL","AFLAC Incorporated Common Stock",63.57,-0.20,"-0.31%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.77,-0.20,"-0.34%"
"AIV","Apartment Investment and Manage",38.10,+0.20,"+0.53%"
"AIZ","Assurant, Inc. Common Stock",65.38,+0.46,"+0.71%"
"AKAM","Akamai Technologies, Inc.",78.04,-0.32,"-0.41%"
"ALL","Allstate Corporation (The) Comm",67.89,+0.25,"+0.37%"
"ALTR","Altera Corporation",44.24,-0.07,"-0.16%"
"ALXN","Alexion Pharmaceuticals, Inc.",162.415,+0.725,"+0.448%"
"AMAT","Applied Materials, Inc.",20.3601,+0.5001,"+2.5181%"
"AMD","Advanced Micro Devices",2.355,+0.025,"+1.073%"
"AMGN","Amgen Inc.",162.28,+0.30,"+0.19%"
"AMP","Ameriprise Financial, Inc. Comm",127.88,-0.42,"-0.33%"
"AMT","American Tower Corporation (REI",94.438,-0.372,"-0.392%"
"AMZN","Amazon.com, Inc.",428.96,-3.32,"-0.77%"
"AN","AutoNation, Inc. Common Stock",62.325,+0.005,"+0.008%"
"ANF","Abercrombie & Fitch Company Com",21.19,-0.06,"-0.28%"
"AON","Aon plc Class A Ordinary Shares",100.095,+0.115,"+0.115%"
"APA","Apache Corporation Common Stock",62.69,+0.06,"+0.10%"
"APC","Anadarko Petroleum Corporation ",83.74,-0.75,"-0.89%"
"APD","Air Products and Chemicals, Inc",147.90,+0.28,"+0.19%"
"APH","Amphenol Corporation Common Sto",57.83,-0.25,"-0.43%"
"APOL","Apollo Education Group, Inc.",16.77,+0.01,"+0.03%"
"ARG","Airgas, Inc. Common Stock",102.59,-0.41,"-0.40%"
"ATI","Allegheny Technologies Incorpor",37.29,-0.16,"-0.43%"
"AVB","AvalonBay Communities, Inc. Com",167.93,+0.74,"+0.44%"
"AVP","Avon Products, Inc. Common Stoc",7.01,-0.06,"-0.85%"
"AVY","Avery Dennison Corporation Comm",60.00,-0.51,"-0.84%"
"AXP","American Express Company Common",80.95,+0.20,"+0.25%"
"AZO","AutoZone, Inc. Common Stock",683.375,+1.245,"+0.183%"
"BA","Boeing Company (The) Common Sto",147.74,-0.22,"-0.15%"
"BAC","Bank of America Corporation Com",16.45,-0.07,"-0.42%"
"BAX","Baxter International Inc. Commo",69.29,+0.25,"+0.36%"
"BBBY","Bed Bath & Beyond Inc.",69.5576,-0.0924,"-0.1327%"
"BBT","BB&T Corporation Common Stock",38.95,-0.22,"-0.56%"
"BBY","Best Buy Co., Inc. Common Stock",34.658,-0.162,"-0.465%"
"BCR","C.R. Bard, Inc. Common Stock",172.075,-0.045,"-0.026%"
"BDX","Becton, Dickinson and Company C",141.25,+0.21,"+0.15%"
"BEAM",N/A,N/A,+0,"+0%"
"BEN","Franklin Resources, Inc. Common",51.93,-0.21,"-0.40%"
"BF.B",N/A,N/A,N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.56,+0.06,"+0.09%"
"BIG","Big Lots, Inc. Common Stock",46.04,-0.02,"-0.04%"
"BIIB","Biogen Idec Inc.",393.77,-0.58,"-0.15%"
"BK","Bank of New York Mellon Corpora",43.22,-0.15,"-0.35%"
"BLK","BlackRock, Inc. Common Stock",370.72,-0.75,"-0.20%"
"BLL","Ball Corporation Common Stock",73.12,+1.15,"+1.60%"
"BMC","BMC Software, Inc.",46.30,+0.00,"+0.00%"
"BMS","Bemis Company, Inc. Common Stoc",46.47,+0.28,"+0.61%"
"BMY","Bristol-Myers Squibb Company Co",68.12,+0.67,"+0.99%"
"BRCM","Broadcom Corporation",47.36,+0.18,"+0.38%"
"BRK.B",N/A,N/A,N/A,N/A
"BSX","Boston Scientific Corporation C",17.84,-0.07,"-0.39%"
"BTU","Peabody Energy Corporation Comm",4.34,-0.08,"-1.75%"
"BWA","BorgWarner Inc. Common Stock",61.55,-0.11,"-0.18%"
"BXP","Boston Properties, Inc. Common ",134.05,+0.69,"+0.52%"
"C","Citigroup, Inc. Common Stock",54.35,-0.25,"-0.46%"
"CA","CA Inc.",31.84,-0.18,"-0.56%"
"CAG","ConAgra Foods, Inc. Common Stoc",38.15,+0.22,"+0.58%"
"CAH","Cardinal Health, Inc. Common St",88.24,+0.24,"+0.27%"
"CAM","Cameron International Corporati",51.7525,-0.8375,"-1.5925%"
"CAT","Caterpillar, Inc. Common Stock",87.83,-0.91,"-1.03%"
"CB","Chubb Corporation (The) Common ",99.36,+0.23,"+0.23%"
"CBG","CBRE Group Inc Common Stock Cla",38.61,+0.09,"+0.23%"
"CBS","CBS Corporation Class B Common ",59.68,+0.04,"+0.07%"
"CCE","Coca-Cola Enterprises, Inc. Com",46.26,-0.12,"-0.26%"
"CCI","Crown Castle International Corp",83.16,+0.38,"+0.46%"
"CCL","Carnival Corporation Common Sto",47.91,+0.54,"+1.14%"
"CELG","Celgene Corporation",115.21,+0.13,"+0.11%"
"CERN","Cerner Corporation",68.03,-0.11,"-0.16%"
"CF","CF Industries Holdings, Inc. Co",304.90,+0.61,"+0.20%"
"CFN",N/A,N/A,N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.88,-0.21,"-1.39%"
"CHRW","C.H. Robinson Worldwide, Inc.",64.74,+0.36,"+0.56%"
"CI","Cigna Corporation Common Stock",131.66,-0.19,"-0.14%"
"CINF","Cincinnati Financial Corporatio",51.20,+0.07,"+0.14%"
"CL","Colgate-Palmolive Company Commo",68.68,+0.05,"+0.07%"
"CLF","Cliffs Natural Resources Inc Co",5.69,+0.08,"+1.43%"
"CLX","Clorox Company (The) Common Sto",108.98,+0.51,"+0.47%"
"CMA","Comerica Incorporated Common St",48.53,-0.33,"-0.68%"
"CMCSA","Comcast Corporation",56.75,+0.21,"+0.37%"
"CME","CME Group Inc.",96.07,-0.02,"-0.02%"
"CMG","Chipotle Mexican Grill, Inc. Co",631.77,-2.76,"-0.43%"
"CMI","Cummins Inc. Common Stock",142.07,-1.15,"-0.80%"
"CMS","CMS Energy Corporation Common S",33.33,-0.02,"-0.06%"
"CNP","CenterPoint Energy, Inc (Holdin",20.1973,-0.0027,"-0.0134%"
"CNX","CONSOL Energy Inc. Common Stock",31.67,+0.10,"+0.32%"
"COF","Capital One Financial Corporati",84.48,+0.01,"+0.01%"
"COG","Cabot Oil & Gas Corporation Com",35.34,+0.02,"+0.06%"
"COH","Coach, Inc. Common Stock",37.5399,-0.2201,"-0.5829%"
"COL","Rockwell Collins, Inc. Common S",98.27,-0.08,"-0.08%"
"COP","ConocoPhillips Common Stock",65.46,+0.04,"+0.06%"
"COST","Costco Wholesale Corporation",143.13,+0.53,"+0.37%"
"COV","Covidien plc. Ordinary Shares (",N/A,+0,"+0%"
"CPB","Campbell Soup Company Common St",46.68,+0.20,"+0.43%"
"CRM","Salesforce.com Inc Common Stock",73.18,+0.30,"+0.41%"
"CSC","Computer Sciences Corporation C",66.80,-0.48,"-0.71%"
"CSCO","Cisco Systems, Inc.",29.4401,+0.3901,"+1.3429%"
"CSX","CSX Corporation Common Stock",34.90,+0.00,"+0.00%"
"CTAS","Cintas Corporation",85.3675,+0.2525,"+0.2967%"
"CTL","CenturyLink, Inc. Common Stock",34.41,+0.07,"+0.20%"
"CTSH","Cognizant Technology Solutions ",63.31,-0.51,"-0.80%"
"CTXS","Citrix Systems, Inc.",66.47,-0.28,"-0.42%"
"CVC","Cablevision Systems Corporation",20.155,-0.145,"-0.714%"
"CVH",N/A,N/A,N/A,N/A
"CVS","CVS Health Corporation Common S",101.68,-0.28,"-0.27%"
"CVX","Chevron Corporation Common Stoc",107.38,+0.00,"+0.00%"
"D","Dominion Resources, Inc. Common",71.73,+0.13,"+0.18%"
"DD","E.I. du Pont de Nemours and Com",69.74,+0.07,"+0.10%"
"DE","Deere & Company Common Stock",89.90,-2.31,"-2.51%"
"DELL",N/A,N/A,N/A,N/A
"DF","Dean Foods Company Common Stock",18.72,+0.01,"+0.05%"
"DFS","Discover Financial Services Com",60.02,-0.32,"-0.53%"
"DG","Dollar General Corporation Comm",74.04,+0.58,"+0.79%"
"DGX","Quest Diagnostics Incorporated ",72.04,+0.34,"+0.47%"
"DHI","D.R. Horton, Inc. Common Stock",25.49,-0.30,"-1.16%"
"DHR","Danaher Corporation Common Stoc",87.21,-0.63,"-0.72%"
"DIS","Walt Disney Company (The) Commo",110.49,+0.56,"+0.51%"
"DISCA","Discovery Communications, Inc.",31.45,+0.05,"+0.16%"
"DLTR","Dollar Tree, Inc.",77.3201,+0.3501,"+0.4548%"
"DNB","Dun & Bradstreet Corporation (T",129.11,-0.12,"-0.09%"
"DNR","Denbury Resources Inc. Common S",7.22,-0.09,"-1.23%"
"DO","Diamond Offshore Drilling, Inc.",33.11,-0.36,"-1.08%"
"DOV","Dover Corporation Common Stock",75.62,-0.89,"-1.16%"
"DOW","Dow Chemical Company (The) Comm",50.91,-0.33,"-0.64%"
"DPS","Dr Pepper Snapple Group, Inc Dr",77.94,+0.28,"+0.36%"
"DRI","Darden Restaurants, Inc. Common",63.6848,+0.2948,"+0.4651%"
"DTE","DTE Energy Company Common Stock",78.34,+0.25,"+0.32%"
"DTV","DIRECTV",91.22,+0.20,"+0.22%"
"DUK","Duke Energy Corporation (Holdin",75.81,+0.32,"+0.42%"
"DVA","DaVita HealthCare Partners Inc.",81.435,-0.425,"-0.519%"
"DVN","Devon Energy Corporation Common",65.44,-0.24,"-0.37%"
"EA","Electronic Arts Inc.",63.01,-0.08,"-0.13%"
"EBAY","eBay Inc.",59.89,-0.21,"-0.35%"
"ECL","Ecolab Inc. Common Stock",115.71,-0.28,"-0.24%"
"ED","Consolidated Edison, Inc. Commo",61.1672,+0.0672,"+0.1100%"
"EFX","Equifax, Inc. Common Stock",99.94,+0.33,"+0.33%"
