"A","Agilent Technologies, Inc. Comm",42.08
"AA","Alcoa Inc. Common Stock",13.575
"AAPL","Apple Inc.",128.52
"ABC","AmerisourceBergen Corporation C",113.99
"ABT","Abbott Laboratories Common Stoc",48.53
"ACE","Ace Limited Common Stock",108.03
"ACN","Accenture plc. Class A Ordinary",97.00
"ADBE","Adobe Systems Incorporated",78.765
"ADI","Analog Devices, Inc.",62.99
"ADM","Archer-Daniels-Midland Company ",53.091
"ADP","Automatic Data Processing, Inc.",87.535
"ADSK","Autodesk, Inc.",58.97
"ADT","ADT Corporation Common Stock",37.75
"AEE","Ameren Corporation Common Stock",40.6574
"AEP","American Electric Power Company",55.6599
"AES","The AES Corporation Common Stoc",13.735
"AET","Aetna Inc. Common Stock",111.81
"AFL","AFLAC Incorporated Common Stock",63.42
"AGN",N/A,N/A
"AIG","American International Group, I",58.2456
"AIV","Apartment Investment and Manage",38.20
"AIZ","Assurant, Inc. Common Stock",65.62
"AKAM","Akamai Technologies, Inc.",77.99
"ALL","Allstate Corporation (The) Comm",67.625
"ALTR","Altera Corporation",44.36
"ALXN","Alexion Pharmaceuticals, Inc.",160.12
"AMAT","Applied Materials, Inc.",20.19
"AMD","Advanced Micro Devices",2.355
"AMGN","Amgen Inc.",162.2064
"AMP","Ameriprise Financial, Inc. Comm",127.38
"AMT","American Tower Corporation (REI",95.11
"AMZN","Amazon.com, Inc.",425.925
"AN","AutoNation, Inc. Common Stock",62.286
"ANF","Abercrombie & Fitch Company Com",21.40
"AON","Aon plc Class A Ordinary Shares",99.30
"APA","Apache Corporation Common Stock",63.74
"APC","Anadarko Petroleum Corporation ",84.73
"APD","Air Products and Chemicals, Inc",148.73
"APH","Amphenol Corporation Common Sto",57.70
"APOL","Apollo Education Group, Inc.",16.95
"ARG","Airgas, Inc. Common Stock",102.86
"ATI","Allegheny Technologies Incorpor",37.47
"AVB","AvalonBay Communities, Inc. Com",168.71
"AVP","Avon Products, Inc. Common Stoc",7.02
"AVY","Avery Dennison Corporation Comm",60.255
"AXP","American Express Company Common",80.07
"AZO","AutoZone, Inc. Common Stock",686.69
"BA","Boeing Company (The) Common Sto",146.53
"BAC","Bank of America Corporation Com",16.345
"BAX","Baxter International Inc. Commo",69.305
"BBBY","Bed Bath & Beyond Inc.",72.68
"BBT","BB&T Corporation Common Stock",38.56
"BBY","Best Buy Co., Inc. Common Stock",34.6828
"BCR","C.R. Bard, Inc. Common Stock",172.53
"BDX","Becton, Dickinson and Company C",140.96
