"A","Agilent Technologies, Inc. Comm",42.06,+0.01,"+0.02%"
"AA","Alcoa Inc. Common Stock",13.61,-0.03,"-0.22%"
"AAPL","Apple Inc.",128.43,-0.52,"-0.40%"
"ABC","AmerisourceBergen Corporation C",114.78,+0.12,"+0.10%"
"ABT","Abbott Laboratories Common Stoc",48.65,-0.02,"-0.04%"
"ACE","Ace Limited Common Stock",108.17,-0.42,"-0.39%"
"ACN","Accenture plc. Class A Ordinary",96.58,-0.40,"-0.41%"
"ADBE","Adobe Systems Incorporated",79.25,-0.18,"-0.23%"
"ADI","Analog Devices, Inc.",63.15,-0.25,"-0.39%"
"ADM","Archer-Daniels-Midland Company ",52.71,-0.17,"-0.32%"
"ADP","Automatic Data Processing, Inc.",87.815,-0.175,"-0.199%"
"ADSK","Autodesk, Inc.",58.703,-0.277,"-0.470%"
"ADT","ADT Corporation Common Stock",37.95,+0.18,"+0.48%"
"AEE","Ameren Corporation Common Stock",40.40,+0.14,"+0.35%"
"AEP","American Electric Power Company",55.32,+0.22,"+0.40%"
"AES","The AES Corporation Common Stoc",13.56,+0.02,"+0.15%"
"AET","Aetna Inc. Common Stock",111.641,+0.161,"+0.144%"
"AFL","AFLAC Incorporated Common Stock",63.36,-0.41,"-0.64%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.69,-0.28,"-0.47%"
"AIV","Apartment Investment and Manage",38.05,+0.15,"+0.40%"
"AIZ","Assurant, Inc. Common Stock",65.29,+0.37,"+0.57%"
"AKAM","Akamai Technologies, Inc.",77.90,-0.46,"-0.59%"
"ALL","Allstate Corporation (The) Comm",67.77,+0.13,"+0.19%"
"ALTR","Altera Corporation",44.06,-0.25,"-0.56%"
"ALXN","Alexion Pharmaceuticals, Inc.",161.87,+0.18,"+0.11%"
"AMAT","Applied Materials, Inc.",20.32,+0.46,"+2.32%"
"AMD","Advanced Micro Devices",2.35,+0.02,"+0.86%"
"AMGN","Amgen Inc.",162.00,+0.02,"+0.01%"
