"A","Agilent Technologies, Inc. Comm",42.05,+0.00,"+0.00%"
"AA","Alcoa Inc. Common Stock",13.63,-0.01,"-0.07%"
"AAPL","Apple Inc.",128.603,-0.347,"-0.269%"
"ABC","AmerisourceBergen Corporation C",114.70,+0.04,"+0.03%"
"ABT","Abbott Laboratories Common Stoc",48.55,-0.12,"-0.25%"
"ACE","Ace Limited Common Stock",108.385,-0.205,"-0.189%"
"ACN","Accenture plc. Class A Ordinary",96.68,-0.30,"-0.31%"
"ADBE","Adobe Systems Incorporated",79.56,+0.13,"+0.16%"
"ADI","Analog Devices, Inc.",63.24,-0.16,"-0.25%"
"ADM","Archer-Daniels-Midland Company ",52.705,-0.175,"-0.331%"
"ADP","Automatic Data Processing, Inc.",87.94,-0.05,"-0.06%"
"ADSK","Autodesk, Inc.",58.83,-0.15,"-0.25%"
"ADT","ADT Corporation Common Stock",38.02,+0.25,"+0.66%"
"AEE","Ameren Corporation Common Stock",40.30,+0.04,"+0.10%"
"AEP","American Electric Power Company",55.17,+0.07,"+0.13%"
"AES","The AES Corporation Common Stoc",13.53,-0.01,"-0.07%"
"AET","Aetna Inc. Common Stock",111.85,+0.37,"+0.33%"
"AFL","AFLAC Incorporated Common Stock",63.5708,-0.1992,"-0.3124%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.76,-0.21,"-0.36%"
"AIV","Apartment Investment and Manage",38.09,+0.19,"+0.50%"
"AIZ","Assurant, Inc. Common Stock",65.38,+0.46,"+0.71%"
"AKAM","Akamai Technologies, Inc.",78.09,-0.27,"-0.34%"
"ALL","Allstate Corporation (The) Comm",67.88,+0.24,"+0.35%"
"ALTR","Altera Corporation",44.18,-0.13,"-0.29%"
"ALXN","Alexion Pharmaceuticals, Inc.",162.26,+0.57,"+0.35%"
"AMAT","Applied Materials, Inc.",20.37,+0.51,"+2.57%"
"AMD","Advanced Micro Devices",2.35,+0.02,"+0.86%"
"AMGN","Amgen Inc.",162.22,+0.24,"+0.15%"
"AMP","Ameriprise Financial, Inc. Comm",127.85,-0.45,"-0.35%"
"AMT","American Tower Corporation (REI",94.43,-0.38,"-0.40%"
"AMZN","Amazon.com, Inc.",429.18,-3.10,"-0.72%"
"AN","AutoNation, Inc. Common Stock",62.33,+0.01,"+0.02%"
"ANF","Abercrombie & Fitch Company Com",21.23,-0.02,"-0.09%"
"AON","Aon plc Class A Ordinary Shares",100.095,+0.115,"+0.115%"
"APA","Apache Corporation Common Stock",62.62,-0.01,"-0.02%"
"APC","Anadarko Petroleum Corporation ",83.79,-0.70,"-0.83%"
"APD","Air Products and Chemicals, Inc",147.72,+0.10,"+0.07%"
"APH","Amphenol Corporation Common Sto",57.83,-0.25,"-0.43%"
"APOL","Apollo Education Group, Inc.",16.7712,+0.0062,"+0.0370%"
"ARG","Airgas, Inc. Common Stock",102.61,-0.39,"-0.38%"
"ATI","Allegheny Technologies Incorpor",37.29,-0.16,"-0.43%"
"AVB","AvalonBay Communities, Inc. Com",167.93,+0.74,"+0.44%"
"AVP","Avon Products, Inc. Common Stoc",6.97,-0.10,"-1.41%"
"AVY","Avery Dennison Corporation Comm",59.98,-0.53,"-0.88%"
"AXP","American Express Company Common",80.93,+0.18,"+0.22%"
"AZO","AutoZone, Inc. Common Stock",682.72,+0.59,"+0.09%"
"BA","Boeing Company (The) Common Sto",147.76,-0.20,"-0.14%"
"BAC","Bank of America Corporation Com",16.46,-0.06,"-0.36%"
"BAX","Baxter International Inc. Commo",69.252,+0.212,"+0.307%"
"BBBY","Bed Bath & Beyond Inc.",69.57,-0.08,"-0.11%"
"BBT","BB&T Corporation Common Stock",38.97,-0.20,"-0.51%"
"BBY","Best Buy Co., Inc. Common Stock",34.64,-0.18,"-0.52%"
"BCR","C.R. Bard, Inc. Common Stock",172.095,-0.025,"-0.015%"
