"A","Agilent Technologies, Inc. Comm",42.06,+0.01,"+0.02%"
"AA","Alcoa Inc. Common Stock",13.585,-0.055,"-0.403%"
"AAPL","Apple Inc.",128.375,-0.575,"-0.446%"
"ABC","AmerisourceBergen Corporation C",114.75,+0.09,"+0.08%"
"ABT","Abbott Laboratories Common Stoc",48.72,+0.05,"+0.10%"
"ACE","Ace Limited Common Stock",108.36,-0.23,"-0.21%"
"ACN","Accenture plc. Class A Ordinary",96.52,-0.46,"-0.47%"
"ADBE","Adobe Systems Incorporated",79.21,-0.22,"-0.28%"
"ADI","Analog Devices, Inc.",63.11,-0.29,"-0.46%"
"ADM","Archer-Daniels-Midland Company ",52.70,-0.18,"-0.34%"
"ADP","Automatic Data Processing, Inc.",87.71,-0.28,"-0.32%"
"ADSK","Autodesk, Inc.",58.76,-0.22,"-0.37%"
"ADT","ADT Corporation Common Stock",37.71,-0.06,"-0.16%"
"AEE","Ameren Corporation Common Stock",40.44,+0.18,"+0.45%"
"AEP","American Electric Power Company",55.36,+0.26,"+0.47%"
"AES","The AES Corporation Common Stoc",13.57,+0.03,"+0.22%"
"AET","Aetna Inc. Common Stock",111.88,+0.40,"+0.36%"
"AFL","AFLAC Incorporated Common Stock",63.32,-0.45,"-0.71%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.73,-0.24,"-0.41%"
"AIV","Apartment Investment and Manage",38.09,+0.19,"+0.50%"
"AIZ","Assurant, Inc. Common Stock",65.42,+0.50,"+0.77%"
"AKAM","Akamai Technologies, Inc.",77.93,-0.43,"-0.55%"
"ALL","Allstate Corporation (The) Comm",67.84,+0.20,"+0.30%"
"ALTR","Altera Corporation",44.05,-0.26,"-0.59%"
"ALXN","Alexion Pharmaceuticals, Inc.",162.62,+0.93,"+0.58%"
"AMAT","Applied Materials, Inc.",20.3299,+0.4699,"+2.3661%"
"AMD","Advanced Micro Devices",2.34,+0.01,"+0.43%"
"AMGN","Amgen Inc.",162.17,+0.19,"+0.12%"
"AMP","Ameriprise Financial, Inc. Comm",127.54,-0.76,"-0.59%"
"AMT","American Tower Corporation (REI",94.58,-0.23,"-0.24%"
"AMZN","Amazon.com, Inc.",428.50,-3.78,"-0.87%"
"AN","AutoNation, Inc. Common Stock",62.35,+0.03,"+0.05%"
"ANF","Abercrombie & Fitch Company Com",21.24,-0.01,"-0.05%"
"AON","Aon plc Class A Ordinary Shares",100.05,+0.07,"+0.07%"
"APA","Apache Corporation Common Stock",62.90,+0.27,"+0.43%"
"APC","Anadarko Petroleum Corporation ",84.3401,-0.1499,"-0.1774%"
"APD","Air Products and Chemicals, Inc",148.05,+0.43,"+0.29%"
"APH","Amphenol Corporation Common Sto",57.845,-0.235,"-0.405%"
"APOL","Apollo Education Group, Inc.",16.79,+0.03,"+0.15%"
"ARG","Airgas, Inc. Common Stock",102.55,-0.45,"-0.44%"
"ATI","Allegheny Technologies Incorpor",37.25,-0.20,"-0.53%"
"AVB","AvalonBay Communities, Inc. Com",168.04,+0.85,"+0.51%"
"AVP","Avon Products, Inc. Common Stoc",6.96,-0.11,"-1.56%"
"AVY","Avery Dennison Corporation Comm",59.96,-0.55,"-0.91%"
"AXP","American Express Company Common",80.78,+0.03,"+0.04%"
"AZO","AutoZone, Inc. Common Stock",682.86,+0.73,"+0.11%"
"BA","Boeing Company (The) Common Sto",147.15,-0.81,"-0.55%"
"BAC","Bank of America Corporation Com",16.429,-0.091,"-0.551%"
"BAX","Baxter International Inc. Commo",69.17,+0.13,"+0.19%"
"BBBY","Bed Bath & Beyond Inc.",69.38,-0.27,"-0.39%"
"BBT","BB&T Corporation Common Stock",38.84,-0.33,"-0.84%"
"BBY","Best Buy Co., Inc. Common Stock",34.58,-0.24,"-0.69%"
"BCR","C.R. Bard, Inc. Common Stock",172.22,+0.10,"+0.06%"
"BDX","Becton, Dickinson and Company C",141.23,+0.19,"+0.13%"
"BEAM",N/A,N/A,+0,"+0%"
"BEN","Franklin Resources, Inc. Common",51.83,-0.31,"-0.59%"
"BF.B",N/A,N/A,N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.71,+0.21,"+0.32%"
"BIG","Big Lots, Inc. Common Stock",46.14,+0.08,"+0.17%"
"BIIB","Biogen Idec Inc.",393.06,-1.29,"-0.33%"
"BK","Bank of New York Mellon Corpora",43.18,-0.19,"-0.44%"
"BLK","BlackRock, Inc. Common Stock",370.06,-1.41,"-0.38%"
"BLL","Ball Corporation Common Stock",72.86,+0.89,"+1.24%"
"BMC","BMC Software, Inc.",46.30,+0.00,"+0.00%"
"BMS","Bemis Company, Inc. Common Stoc",46.30,+0.11,"+0.24%"
"BMY","Bristol-Myers Squibb Company Co",68.047,+0.597,"+0.885%"
"BRCM","Broadcom Corporation",47.325,+0.145,"+0.307%"
"BRK.B",N/A,N/A,N/A,N/A
"BSX","Boston Scientific Corporation C",17.81,-0.10,"-0.56%"
"BTU","Peabody Energy Corporation Comm",4.30,-0.12,"-2.66%"
"BWA","BorgWarner Inc. Common Stock",61.39,-0.27,"-0.44%"
"BXP","Boston Properties, Inc. Common ",134.225,+0.865,"+0.649%"
"C","Citigroup, Inc. Common Stock",54.27,-0.33,"-0.60%"
"CA","CA Inc.",31.815,-0.205,"-0.640%"
"CAG","ConAgra Foods, Inc. Common Stoc",38.14,+0.21,"+0.55%"
"CAH","Cardinal Health, Inc. Common St",87.99,-0.01,"-0.01%"
"CAM","Cameron International Corporati",52.3185,-0.2715,"-0.5163%"
"CAT","Caterpillar, Inc. Common Stock",87.85,-0.89,"-1.00%"
"CB","Chubb Corporation (The) Common ",99.32,+0.19,"+0.19%"
"CBG","CBRE Group Inc Common Stock Cla",38.50,-0.02,"-0.05%"
"CBS","CBS Corporation Class B Common ",59.63,-0.01,"-0.02%"
"CCE","Coca-Cola Enterprises, Inc. Com",46.26,-0.12,"-0.26%"
"CCI","Crown Castle International Corp",83.08,+0.30,"+0.36%"
"CCL","Carnival Corporation Common Sto",47.71,+0.34,"+0.72%"
"CELG","Celgene Corporation",114.99,-0.09,"-0.08%"
"CERN","Cerner Corporation",68.06,-0.08,"-0.12%"
"CF","CF Industries Holdings, Inc. Co",304.23,-0.06,"-0.02%"
"CFN",N/A,N/A,N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.85,-0.24,"-1.59%"
"CHRW","C.H. Robinson Worldwide, Inc.",64.53,+0.15,"+0.23%"
"CI","Cigna Corporation Common Stock",131.75,-0.10,"-0.08%"
"CINF","Cincinnati Financial Corporatio",51.12,-0.01,"-0.02%"
"CL","Colgate-Palmolive Company Commo",68.53,-0.10,"-0.15%"
"CLF","Cliffs Natural Resources Inc Co",5.68,+0.07,"+1.25%"
"CLX","Clorox Company (The) Common Sto",108.82,+0.35,"+0.32%"
"CMA","Comerica Incorporated Common St",48.47,-0.39,"-0.80%"
"CMCSA","Comcast Corporation",56.61,+0.07,"+0.12%"
"CME","CME Group Inc.",95.61,-0.48,"-0.50%"
"CMG","Chipotle Mexican Grill, Inc. Co",630.19,-4.34,"-0.68%"
"CMI","Cummins Inc. Common Stock",141.84,-1.38,"-0.96%"
"CMS","CMS Energy Corporation Common S",33.49,+0.14,"+0.42%"
"CNP","CenterPoint Energy, Inc (Holdin",20.23,+0.03,"+0.15%"
"CNX","CONSOL Energy Inc. Common Stock",31.81,+0.24,"+0.76%"
"COF","Capital One Financial Corporati",84.20,-0.27,"-0.32%"
"COG","Cabot Oil & Gas Corporation Com",35.28,-0.04,"-0.11%"
"COH","Coach, Inc. Common Stock",37.46,-0.30,"-0.79%"
"COL","Rockwell Collins, Inc. Common S",98.12,-0.23,"-0.23%"
"COP","ConocoPhillips Common Stock",65.588,+0.168,"+0.257%"
"COST","Costco Wholesale Corporation",143.23,+0.63,"+0.44%"
"COV","Covidien plc. Ordinary Shares (",N/A,+0,"+0%"
"CPB","Campbell Soup Company Common St",46.64,+0.16,"+0.34%"
"CRM","Salesforce.com Inc Common Stock",72.98,+0.10,"+0.14%"
"CSC","Computer Sciences Corporation C",67.02,-0.26,"-0.39%"
"CSCO","Cisco Systems, Inc.",29.4299,+0.3799,"+1.3077%"
"CSX","CSX Corporation Common Stock",34.8701,-0.0299,"-0.0857%"
"CTAS","Cintas Corporation",85.41,+0.30,"+0.35%"
"CTL","CenturyLink, Inc. Common Stock",34.3762,+0.0362,"+0.1054%"
"CTSH","Cognizant Technology Solutions ",63.24,-0.58,"-0.91%"
"CTXS","Citrix Systems, Inc.",66.21,-0.54,"-0.81%"
"CVC","Cablevision Systems Corporation",20.085,-0.215,"-1.059%"
"CVH",N/A,N/A,N/A,N/A
"CVS","CVS Health Corporation Common S",101.72,-0.24,"-0.24%"
"CVX","Chevron Corporation Common Stoc",107.82,+0.44,"+0.41%"
"D","Dominion Resources, Inc. Common",71.94,+0.34,"+0.47%"
"DD","E.I. du Pont de Nemours and Com",69.95,+0.28,"+0.40%"
"DE","Deere & Company Common Stock",89.40,-2.81,"-3.05%"
"DELL",N/A,N/A,N/A,N/A
"DF","Dean Foods Company Common Stock",18.80,+0.09,"+0.48%"
"DFS","Discover Financial Services Com",59.95,-0.39,"-0.65%"
"DG","Dollar General Corporation Comm",74.02,+0.56,"+0.76%"
"DGX","Quest Diagnostics Incorporated ",71.64,-0.06,"-0.08%"
"DHI","D.R. Horton, Inc. Common Stock",25.56,-0.23,"-0.89%"
"DHR","Danaher Corporation Common Stoc",86.99,-0.85,"-0.97%"
"DIS","Walt Disney Company (The) Commo",110.16,+0.23,"+0.21%"
"DISCA","Discovery Communications, Inc.",31.3099,-0.0901,"-0.2869%"
"DLTR","Dollar Tree, Inc.",77.51,+0.54,"+0.70%"
"DNB","Dun & Bradstreet Corporation (T",128.92,-0.31,"-0.24%"
"DNR","Denbury Resources Inc. Common S",7.22,-0.09,"-1.23%"
"DO","Diamond Offshore Drilling, Inc.",33.05,-0.42,"-1.25%"
"DOV","Dover Corporation Common Stock",75.68,-0.83,"-1.08%"
"DOW","Dow Chemical Company (The) Comm",50.9401,-0.2999,"-0.5853%"
"DPS","Dr Pepper Snapple Group, Inc Dr",77.84,+0.18,"+0.23%"
"DRI","Darden Restaurants, Inc. Common",63.575,+0.185,"+0.292%"
"DTE","DTE Energy Company Common Stock",78.58,+0.49,"+0.63%"
"DTV","DIRECTV",91.20,+0.18,"+0.20%"
"DUK","Duke Energy Corporation (Holdin",76.07,+0.58,"+0.77%"
"DVA","DaVita HealthCare Partners Inc.",81.45,-0.41,"-0.50%"
"DVN","Devon Energy Corporation Common",65.58,-0.10,"-0.15%"
"EA","Electronic Arts Inc.",62.84,-0.25,"-0.40%"
"EBAY","eBay Inc.",59.76,-0.34,"-0.57%"
"ECL","Ecolab Inc. Common Stock",115.75,-0.24,"-0.21%"
"ED","Consolidated Edison, Inc. Commo",61.42,+0.32,"+0.52%"
"EFX","Equifax, Inc. Common Stock",99.77,+0.16,"+0.16%"
"EIX","Edison International Common Sto",59.86,+0.11,"+0.18%"
"EL","Estee Lauder Companies, Inc. (T",88.69,-0.70,"-0.78%"
"EMC","EMC Corporation Common Stock",26.84,-0.19,"-0.70%"
"EMN","Eastman Chemical Company Common",77.72,-0.49,"-0.63%"
"EMR","Emerson Electric Company Common",60.11,-0.42,"-0.69%"
"EOG","EOG Resources, Inc. Common Stoc",90.295,-0.435,"-0.479%"
"EQR","Equity Residential Common Share",75.20,+0.26,"+0.35%"
"EQT","EQT Corporation Common Stock",89.50,-1.30,"-1.43%"
"ESRX","Express Scripts Holding Company",87.68,+0.22,"+0.25%"
