"A","Agilent Technologies, Inc. Comm",42.12
"AA","Alcoa Inc. Common Stock",13.5821
"AAPL","Apple Inc.",128.57
"ABC","AmerisourceBergen Corporation C",114.44
"ABT","Abbott Laboratories Common Stoc",48.79
"ACE","Ace Limited Common Stock",108.37
"ACN","Accenture plc. Class A Ordinary",96.69
"ADBE","Adobe Systems Incorporated",79.17
"ADI","Analog Devices, Inc.",63.10
"ADM","Archer-Daniels-Midland Company ",52.79
"ADP","Automatic Data Processing, Inc.",87.73
"ADSK","Autodesk, Inc.",59.00
"ADT","ADT Corporation Common Stock",37.80
"AEE","Ameren Corporation Common Stock",40.53
"AEP","American Electric Power Company",55.46
"AES","The AES Corporation Common Stoc",13.62
"AET","Aetna Inc. Common Stock",111.955
"AFL","AFLAC Incorporated Common Stock",63.36
"AGN",N/A,N/A
"AIG","American International Group, I",58.50
"AIV","Apartment Investment and Manage",38.19
"AIZ","Assurant, Inc. Common Stock",65.42
"AKAM","Akamai Technologies, Inc.",78.21
"ALL","Allstate Corporation (The) Comm",67.86
"ALTR","Altera Corporation",43.91
"ALXN","Alexion Pharmaceuticals, Inc.",162.56
"AMAT","Applied Materials, Inc.",20.37
"AMD","Advanced Micro Devices",2.33
"AMGN","Amgen Inc.",162.18
"AMP","Ameriprise Financial, Inc. Comm",127.52
"AMT","American Tower Corporation (REI",94.86
"AMZN","Amazon.com, Inc.",428.3599
"AN","AutoNation, Inc. Common Stock",62.375
"ANF","Abercrombie & Fitch Company Com",21.3697
"AON","Aon plc Class A Ordinary Shares",100.00
"APA","Apache Corporation Common Stock",62.57
"APC","Anadarko Petroleum Corporation ",84.26
"APD","Air Products and Chemicals, Inc",148.33
"APH","Amphenol Corporation Common Sto",57.82
"APOL","Apollo Education Group, Inc.",16.79
"ARG","Airgas, Inc. Common Stock",102.49
"ATI","Allegheny Technologies Incorpor",37.335
"AVB","AvalonBay Communities, Inc. Com",168.20
"AVP","Avon Products, Inc. Common Stoc",7.00
"AVY","Avery Dennison Corporation Comm",60.01
"AXP","American Express Company Common",80.79
"AZO","AutoZone, Inc. Common Stock",682.93
"BA","Boeing Company (The) Common Sto",147.06
"BAC","Bank of America Corporation Com",16.39
"BAX","Baxter International Inc. Commo",69.37
"BBBY","Bed Bath & Beyond Inc.",69.44
"BBT","BB&T Corporation Common Stock",38.75
"BBY","Best Buy Co., Inc. Common Stock",34.61
"BCR","C.R. Bard, Inc. Common Stock",172.92
"BDX","Becton, Dickinson and Company C",141.26
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.74
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.53
"BIG","Big Lots, Inc. Common Stock",46.23
"BIIB","Biogen Idec Inc.",392.72
"BK","Bank of New York Mellon Corpora",43.085
"BLK","BlackRock, Inc. Common Stock",370.06
"BLL","Ball Corporation Common Stock",72.87
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.25
"BMY","Bristol-Myers Squibb Company Co",68.02
"BRCM","Broadcom Corporation",47.28
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.805
"BTU","Peabody Energy Corporation Comm",4.305
"BWA","BorgWarner Inc. Common Stock",61.48
"BXP","Boston Properties, Inc. Common ",134.51
"C","Citigroup, Inc. Common Stock",54.11
"CA","CA Inc.",31.86
"CAG","ConAgra Foods, Inc. Common Stoc",38.17
"CAH","Cardinal Health, Inc. Common St",88.09
"CAM","Cameron International Corporati",52.44
"CAT","Caterpillar, Inc. Common Stock",87.80
"CB","Chubb Corporation (The) Common ",99.18
"CBG","CBRE Group Inc Common Stock Cla",38.56
"CBS","CBS Corporation Class B Common ",59.65
"CCE","Coca-Cola Enterprises, Inc. Com",46.35
"CCI","Crown Castle International Corp",83.24
"CCL","Carnival Corporation Common Sto",47.81
"CELG","Celgene Corporation",115.24
"CERN","Cerner Corporation",68.12
"CF","CF Industries Holdings, Inc. Co",304.07
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.73
"CHRW","C.H. Robinson Worldwide, Inc.",64.455
"CI","Cigna Corporation Common Stock",131.83
"CINF","Cincinnati Financial Corporatio",51.0837
"CL","Colgate-Palmolive Company Commo",68.65
"CLF","Cliffs Natural Resources Inc Co",5.66
"CLX","Clorox Company (The) Common Sto",109.04
"CMA","Comerica Incorporated Common St",48.193
"CMCSA","Comcast Corporation",56.60
"CME","CME Group Inc.",95.39
"CMG","Chipotle Mexican Grill, Inc. Co",631.93
"CMI","Cummins Inc. Common Stock",141.78
"CMS","CMS Energy Corporation Common S",33.625
"CNP","CenterPoint Energy, Inc (Holdin",20.30
"CNX","CONSOL Energy Inc. Common Stock",31.78
"COF","Capital One Financial Corporati",84.18
"COG","Cabot Oil & Gas Corporation Com",35.14
"COH","Coach, Inc. Common Stock",37.51
"COL","Rockwell Collins, Inc. Common S",98.07
"COP","ConocoPhillips Common Stock",65.55
"COST","Costco Wholesale Corporation",143.75
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.69
"CRM","Salesforce.com Inc Common Stock",73.22
"CSC","Computer Sciences Corporation C",67.17
"CSCO","Cisco Systems, Inc.",29.4935
"CSX","CSX Corporation Common Stock",35.005
"CTAS","Cintas Corporation",85.62
"CTL","CenturyLink, Inc. Common Stock",34.48
"CTSH","Cognizant Technology Solutions ",63.22
"CTXS","Citrix Systems, Inc.",66.22
"CVC","Cablevision Systems Corporation",20.16
"CVH",N/A,N/A
"CVS","CVS Health Corporation Common S",101.52
"CVX","Chevron Corporation Common Stoc",107.88
"D","Dominion Resources, Inc. Common",72.15
"DD","E.I. du Pont de Nemours and Com",70.05
"DE","Deere & Company Common Stock",89.53
"DELL",N/A,N/A
"DF","Dean Foods Company Common Stock",18.79
"DFS","Discover Financial Services Com",59.81
"DG","Dollar General Corporation Comm",74.28
"DGX","Quest Diagnostics Incorporated ",71.84
"DHI","D.R. Horton, Inc. Common Stock",25.76
"DHR","Danaher Corporation Common Stoc",87.1163
"DIS","Walt Disney Company (The) Commo",110.03
"DISCA","Discovery Communications, Inc.",31.34
"DLTR","Dollar Tree, Inc.",77.70
"DNB","Dun & Bradstreet Corporation (T",128.64
"DNR","Denbury Resources Inc. Common S",7.18
"DO","Diamond Offshore Drilling, Inc.",32.78
"DOV","Dover Corporation Common Stock",75.76
"DOW","Dow Chemical Company (The) Comm",50.97
"DPS","Dr Pepper Snapple Group, Inc Dr",77.86
"DRI","Darden Restaurants, Inc. Common",63.75
"DTE","DTE Energy Company Common Stock",78.70
"DTV","DIRECTV",91.31
"DUK","Duke Energy Corporation (Holdin",76.19
"DVA","DaVita HealthCare Partners Inc.",81.4897
"DVN","Devon Energy Corporation Common",65.42
"EA","Electronic Arts Inc.",62.88
"EBAY","eBay Inc.",59.93
"ECL","Ecolab Inc. Common Stock",115.83
"ED","Consolidated Edison, Inc. Commo",61.60
"EFX","Equifax, Inc. Common Stock",99.66
"EIX","Edison International Common Sto",60.06
"EL","Estee Lauder Companies, Inc. (T",88.68
"EMC","EMC Corporation Common Stock",26.89
"EMN","Eastman Chemical Company Common",77.68
"EMR","Emerson Electric Company Common",60.15
"EOG","EOG Resources, Inc. Common Stoc",89.95
"EQR","Equity Residential Common Share",75.21
"EQT","EQT Corporation Common Stock",89.525
"ESRX","Express Scripts Holding Company",87.6801
"ESV","Ensco plc Class A Ordinary Shar",25.42
"ETFC","E*TRADE Financial Corporation",29.17
"ETN","Eaton Corporation, PLC Ordinary",72.85
