"A","Agilent Technologies, Inc. Comm",42.14
"AA","Alcoa Inc. Common Stock",13.57
"AAPL","Apple Inc.",128.27
"ABC","AmerisourceBergen Corporation C",114.24
"ABT","Abbott Laboratories Common Stoc",48.74
"ACE","Ace Limited Common Stock",108.37
"ACN","Accenture plc. Class A Ordinary",96.70
"ADBE","Adobe Systems Incorporated",79.21
"ADI","Analog Devices, Inc.",63.08
"ADM","Archer-Daniels-Midland Company ",52.79
"ADP","Automatic Data Processing, Inc.",87.77
"ADSK","Autodesk, Inc.",59.03
"ADT","ADT Corporation Common Stock",37.86
"AEE","Ameren Corporation Common Stock",40.53
"AEP","American Electric Power Company",55.48
"AES","The AES Corporation Common Stoc",13.65
"AET","Aetna Inc. Common Stock",111.9899
"AFL","AFLAC Incorporated Common Stock",63.26
"AGN",N/A,N/A
"AIG","American International Group, I",58.52
"AIV","Apartment Investment and Manage",38.29
"AIZ","Assurant, Inc. Common Stock",65.43
"AKAM","Akamai Technologies, Inc.",77.96
"ALL","Allstate Corporation (The) Comm",67.878
"ALTR","Altera Corporation",44.01
"ALXN","Alexion Pharmaceuticals, Inc.",162.06
"AMAT","Applied Materials, Inc.",20.37
"AMD","Advanced Micro Devices",2.345
"AMGN","Amgen Inc.",162.25
"AMP","Ameriprise Financial, Inc. Comm",127.39
"AMT","American Tower Corporation (REI",95.02
"AMZN","Amazon.com, Inc.",427.25
"AN","AutoNation, Inc. Common Stock",62.30
"ANF","Abercrombie & Fitch Company Com",21.26
"AON","Aon plc Class A Ordinary Shares",99.87
"APA","Apache Corporation Common Stock",62.44
"APC","Anadarko Petroleum Corporation ",84.20
"APD","Air Products and Chemicals, Inc",148.51
"APH","Amphenol Corporation Common Sto",57.77
"APOL","Apollo Education Group, Inc.",16.7399
"ARG","Airgas, Inc. Common Stock",102.83
"ATI","Allegheny Technologies Incorpor",37.26
"AVB","AvalonBay Communities, Inc. Com",168.65
"AVP","Avon Products, Inc. Common Stoc",6.965
"AVY","Avery Dennison Corporation Comm",60.21
"AXP","American Express Company Common",80.65
"AZO","AutoZone, Inc. Common Stock",682.36
"BA","Boeing Company (The) Common Sto",146.98
"BAC","Bank of America Corporation Com",16.42
"BAX","Baxter International Inc. Commo",69.355
"BBBY","Bed Bath & Beyond Inc.",69.44
"BBT","BB&T Corporation Common Stock",38.75
"BBY","Best Buy Co., Inc. Common Stock",34.585
"BCR","C.R. Bard, Inc. Common Stock",172.405
"BDX","Becton, Dickinson and Company C",141.20
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.69
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.58
"BIG","Big Lots, Inc. Common Stock",46.15
"BIIB","Biogen Idec Inc.",393.16
