"A","Agilent Technologies, Inc. Comm",42.10
"AA","Alcoa Inc. Common Stock",13.5432
"AAPL","Apple Inc.",128.56
"ABC","AmerisourceBergen Corporation C",113.90
"ABT","Abbott Laboratories Common Stoc",48.595
"ACE","Ace Limited Common Stock",108.13
"ACN","Accenture plc. Class A Ordinary",96.89
"ADBE","Adobe Systems Incorporated",78.93
"ADI","Analog Devices, Inc.",63.13
"ADM","Archer-Daniels-Midland Company ",53.04
"ADP","Automatic Data Processing, Inc.",87.81
"ADSK","Autodesk, Inc.",58.99
"ADT","ADT Corporation Common Stock",37.74
"AEE","Ameren Corporation Common Stock",40.515
"AEP","American Electric Power Company",55.44
"AES","The AES Corporation Common Stoc",13.65
"AET","Aetna Inc. Common Stock",111.95
"AFL","AFLAC Incorporated Common Stock",63.40
"AGN",N/A,N/A
"AIG","American International Group, I",58.35
"AIV","Apartment Investment and Manage",38.12
"AIZ","Assurant, Inc. Common Stock",65.63
"AKAM","Akamai Technologies, Inc.",77.85
"ALL","Allstate Corporation (The) Comm",67.67
"ALTR","Altera Corporation",44.50
"ALXN","Alexion Pharmaceuticals, Inc.",160.83
"AMAT","Applied Materials, Inc.",20.2736
"AMD","Advanced Micro Devices",2.375
"AMGN","Amgen Inc.",162.85
"AMP","Ameriprise Financial, Inc. Comm",127.445
"AMT","American Tower Corporation (REI",95.1301
"AMZN","Amazon.com, Inc.",425.72
"AN","AutoNation, Inc. Common Stock",62.30
"ANF","Abercrombie & Fitch Company Com",21.33
"AON","Aon plc Class A Ordinary Shares",99.46
"APA","Apache Corporation Common Stock",63.25
"APC","Anadarko Petroleum Corporation ",84.44
"APD","Air Products and Chemicals, Inc",148.88
"APH","Amphenol Corporation Common Sto",57.85
"APOL","Apollo Education Group, Inc.",16.94
"ARG","Airgas, Inc. Common Stock",103.03
"ATI","Allegheny Technologies Incorpor",37.605
"AVB","AvalonBay Communities, Inc. Com",168.575
"AVP","Avon Products, Inc. Common Stoc",7.06
"AVY","Avery Dennison Corporation Comm",60.19
"AXP","American Express Company Common",80.1532
"AZO","AutoZone, Inc. Common Stock",685.18
"BA","Boeing Company (The) Common Sto",146.605
"BAC","Bank of America Corporation Com",16.32
"BAX","Baxter International Inc. Commo",69.41
